commentId,comment,classification,comment_processed,word_phrase_list,reception,reception amaze,amaze,similarity_score
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",0,0,1,0.7142857142857143
87685,"and together, they form an amazing team!",0,form amaze team,"['form', 'form amaze', 'form amaze team', 'amaze', 'amaze team', 'team']",0,0,1,0.7142857142857143
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,1,0.7142857142857143
140496,Dr is amazing the front staff needs to learn customer service!,1,dr amaze staff need learn customer service,"['dr', 'dr amaze', 'dr amaze staff', 'dr amaze staff need', 'dr amaze staff need learn', 'dr amaze staff need learn customer', 'dr amaze staff need learn customer service', 'amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",0,0,1,0.7142857142857143
92308,and personally called me after the surgery to follow up -- amazing!,0,personally call surgery follow amaze,"['personally', 'personally call', 'personally call surgery', 'personally call surgery follow', 'personally call surgery follow amaze', 'call', 'call surgery', 'call surgery follow', 'call surgery follow amaze', 'surgery', 'surgery follow', 'surgery follow amaze', 'follow', 'follow amaze', 'amaze']",0,0,1,0.7142857142857143
82122,I've never had such an amazing dental visit!,0,ve amaze dental visit,"['ve', 've amaze', 've amaze dental', 've amaze dental visit', 'amaze', 'amaze dental', 'amaze dental visit', 'dental', 'dental visit', 'visit']",0,0,1,0.7142857142857143
68459,"I was given an appointment a day after I called, which was amazing because I was uncomfortable and in pain.",0,give appointment call amaze uncomfortable pain,"['give', 'give appointment', 'give appointment call', 'give appointment call amaze', 'give appointment call amaze uncomfortable', 'give appointment call amaze uncomfortable pain', 'appointment', 'appointment call', 'appointment call amaze', 'appointment call amaze uncomfortable', 'appointment call amaze uncomfortable pain', 'call', 'call amaze', 'call amaze uncomfortable', 'call amaze uncomfortable pain', 'amaze', 'amaze uncomfortable', 'amaze uncomfortable pain', 'uncomfortable', 'uncomfortable pain', 'pain']",0,0,1,0.7142857142857143
118535,Dr. Hamawy and his staff were absolutely amazing throughout my experiences with them!,0,dr hamawy staff absolutely amaze experience,"['dr', 'dr hamawy', 'dr hamawy staff', 'dr hamawy staff absolutely', 'dr hamawy staff absolutely amaze', 'dr hamawy staff absolutely amaze experience', 'hamawy', 'hamawy staff', 'hamawy staff absolutely', 'hamawy staff absolutely amaze', 'hamawy staff absolutely amaze experience', 'staff', 'staff absolutely', 'staff absolutely amaze', 'staff absolutely amaze experience', 'absolutely', 'absolutely amaze', 'absolutely amaze experience', 'amaze', 'amaze experience', 'experience']",0,0,1,0.7142857142857143
140581,"and the receptionist needs major help as there was no smile, not warm, just handed me the same paperwork to",1,reception need major help smile warm hand paperwork,"['reception', 'reception need', 'reception need major', 'reception need major help', 'reception need major help smile', 'reception need major help smile warm', 'reception need major help smile warm hand', 'reception need major help smile warm hand paperwork', 'need', 'need major', 'need major help', 'need major help smile', 'need major help smile warm', 'need major help smile warm hand', 'need major help smile warm hand paperwork', 'major', 'major help', 'major help smile', 'major help smile warm', 'major help smile warm hand', 'major help smile warm hand paperwork', 'help', 'help smile', 'help smile warm', 'help smile warm hand', 'help smile warm hand paperwork', 'smile', 'smile warm', 'smile warm hand', 'smile warm hand paperwork', 'warm', 'warm hand', 'warm hand paperwork', 'hand', 'hand paperwork', 'paperwork']",1,0,0,0.7142857142857143
139458,he's amazing and you would be crazy not to go to him for treatment because he is all that,0,s amaze crazy treatment,"['s', 's amaze', 's amaze crazy', 's amaze crazy treatment', 'amaze', 'amaze crazy', 'amaze crazy treatment', 'crazy', 'crazy treatment', 'treatment']",0,0,1,0.7142857142857143
133372,Dr. Becker and the girls in the office are amazing and so kind.,0,girl office amaze kind,"['girl', 'girl office', 'girl office amaze', 'girl office amaze kind', 'office', 'office amaze', 'office amaze kind', 'amaze', 'amaze kind', 'kind']",0,0,1,0.7142857142857143
111190,"From my first appointment through the procedure all the way to my recovery, my experience has been unbelievably amazing!",0,appointment procedure way recovery experience unbelievably amaze,"['appointment', 'appointment procedure', 'appointment procedure way', 'appointment procedure way recovery', 'appointment procedure way recovery experience', 'appointment procedure way recovery experience unbelievably', 'appointment procedure way recovery experience unbelievably amaze', 'procedure', 'procedure way', 'procedure way recovery', 'procedure way recovery experience', 'procedure way recovery experience unbelievably', 'procedure way recovery experience unbelievably amaze', 'way', 'way recovery', 'way recovery experience', 'way recovery experience unbelievably', 'way recovery experience unbelievably amaze', 'recovery', 'recovery experience', 'recovery experience unbelievably', 'recovery experience unbelievably amaze', 'experience', 'experience unbelievably', 'experience unbelievably amaze', 'unbelievably', 'unbelievably amaze', 'amaze']",0,0,1,0.7142857142857143
69258,His work is amazing!!,0,work amaze,"['work', 'work amaze', 'amaze']",0,0,1,0.7142857142857143
125570,Very great customer service and amazing results.,0,great customer service amaze result,"['great', 'great customer', 'great customer service', 'great customer service amaze', 'great customer service amaze result', 'customer', 'customer service', 'customer service amaze', 'customer service amaze result', 'service', 'service amaze', 'service amaze result', 'amaze', 'amaze result', 'result']",0,0,1,0.7142857142857143
143587,Dr Spetka is seriously amzing.,0,seriously amaze,"['seriously', 'seriously amaze', 'amaze']",0,0,1,0.7142857142857143
130847,The results at even just 6 weeks out now are amazing .,0,result amaze,"['result', 'result amaze', 'amaze']",0,0,1,0.7142857142857143
108087,Reception is incredibly rude and unhelpful.,1,reception incredibly rude helpful,"['reception', 'reception incredibly', 'reception incredibly rude', 'reception incredibly rude helpful', 'incredibly', 'incredibly rude', 'incredibly rude helpful', 'rude', 'rude helpful', 'helpful']",1,0,0,0.7142857142857143
123770,"I just had my first liposuction done on my knees, The results are amazing in only a few days",0,liposuction knee result amaze,"['liposuction', 'liposuction knee', 'liposuction knee result', 'liposuction knee result amaze', 'knee', 'knee result', 'knee result amaze', 'result', 'result amaze', 'amaze']",0,0,1,0.7142857142857143
114070,Dr. mendieta?s staff is sooooo amazing !!!,0,sooooo amaze,"['sooooo', 'sooooo amaze', 'amaze']",0,0,1,0.7142857142857143
