commentId,comment,classification,comment_processed,word_phrase_list,no,no disappointment,disappointment,similarity_score
146628,and and I came across Sadrian MD plastic surgery I decided to check them out and I have NO regrets!,0,come plastic surgery decide check no regret,"['come', 'come plastic', 'come plastic surgery', 'come plastic surgery decide', 'come plastic surgery decide check', 'come plastic surgery decide check no', 'come plastic surgery decide check no regret', 'plastic', 'plastic surgery', 'plastic surgery decide', 'plastic surgery decide check', 'plastic surgery decide check no', 'plastic surgery decide check no regret', 'surgery', 'surgery decide', 'surgery decide check', 'surgery decide check no', 'surgery decide check no regret', 'decide', 'decide check', 'decide check no', 'decide check no regret', 'check', 'check no', 'check no regret', 'no', 'no regret', 'regret']",1,0,0,0.06451612903225806
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,no come make big deal line say need come recommendation,"['no', 'no come', 'no come make', 'no come make big', 'no come make big deal', 'no come make big deal line', 'no come make big deal line say', 'no come make big deal line say need', 'no come make big deal line say need come', 'no come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",1,0,0,0.034482758620689655
169438,I will post pics of my nose so no one ever has to go through the sadness and embarrassment that I feel.,1,post pick nose no sadness embarrassment feel,"['post', 'post pick', 'post pick nose', 'post pick nose no', 'post pick nose no sadness', 'post pick nose no sadness embarrassment', 'post pick nose no sadness embarrassment feel', 'pick', 'pick nose', 'pick nose no', 'pick nose no sadness', 'pick nose no sadness embarrassment', 'pick nose no sadness embarrassment feel', 'nose', 'nose no', 'nose no sadness', 'nose no sadness embarrassment', 'nose no sadness embarrassment feel', 'no', 'no sadness', 'no sadness embarrassment', 'no sadness embarrassment feel', 'sadness', 'sadness embarrassment', 'sadness embarrassment feel', 'embarrassment', 'embarrassment feel', 'feel']",1,0,0,0.06451612903225806
94953,and felt no pressure to have to do anything.,0,feel no pressure,"['feel', 'feel no', 'feel no pressure', 'no', 'no pressure', 'pressure']",1,0,0,0.2222222222222222
82613,Staff consists of one very cranky lady with no concern,1,staff consist crank lady no concern,"['staff', 'staff consist', 'staff consist crank', 'staff consist crank lady', 'staff consist crank lady no', 'staff consist crank lady no concern', 'consist', 'consist crank', 'consist crank lady', 'consist crank lady no', 'consist crank lady no concern', 'crank', 'crank lady', 'crank lady no', 'crank lady no concern', 'lady', 'lady no', 'lady no concern', 'no', 'no concern', 'concern']",1,0,0,0.08333333333333333
62738,No problems,0,no problem,"['no', 'no problem', 'problem']",1,0,0,0.3333333333333333
113910,"I am so impressed with the JPlasma, I have no lose skin and no irregularities.",0,impress plasma no lose skin no irregularity,"['impress', 'impress plasma', 'impress plasma no', 'impress plasma no lose', 'impress plasma no lose skin', 'impress plasma no lose skin no', 'impress plasma no lose skin no irregularity', 'plasma', 'plasma no', 'plasma no lose', 'plasma no lose skin', 'plasma no lose skin no', 'plasma no lose skin no irregularity', 'no', 'no lose', 'no lose skin', 'no lose skin no', 'no lose skin no irregularity', 'lose', 'lose skin', 'lose skin no', 'lose skin no irregularity', 'skin', 'skin no', 'skin no irregularity', 'no', 'no irregularity', 'irregularity']",1,0,0,0.06451612903225806
147362,I am five years post breast cancer and was still having so many side effects from no estrogen and chemo.,1,post breast cancer have effect no nitrogen,"['post', 'post breast', 'post breast cancer', 'post breast cancer have', 'post breast cancer have effect', 'post breast cancer have effect no', 'post breast cancer have effect no nitrogen', 'breast', 'breast cancer', 'breast cancer have', 'breast cancer have effect', 'breast cancer have effect no', 'breast cancer have effect no nitrogen', 'cancer', 'cancer have', 'cancer have effect', 'cancer have effect no', 'cancer have effect no nitrogen', 'have', 'have effect', 'have effect no', 'have effect no nitrogen', 'effect', 'effect no', 'effect no nitrogen', 'no', 'no nitrogen', 'nitrogen']",1,0,0,0.06451612903225806
145957,and NO PAIN MEDICATION NOTHING An u have just had surgery I thought I was going to die from pain so bad!,1,no pain meditation u surgery think go die pain bad,"['no', 'no pain', 'no pain meditation', 'no pain meditation u', 'no pain meditation u surgery', 'no pain meditation u surgery think', 'no pain meditation u surgery think go', 'no pain meditation u surgery think go die', 'no pain meditation u surgery think go die pain', 'no pain meditation u surgery think go die pain bad', 'pain', 'pain meditation', 'pain meditation u', 'pain meditation u surgery', 'pain meditation u surgery think', 'pain meditation u surgery think go', 'pain meditation u surgery think go die', 'pain meditation u surgery think go die pain', 'pain meditation u surgery think go die pain bad', 'meditation', 'meditation u', 'meditation u surgery', 'meditation u surgery think', 'meditation u surgery think go', 'meditation u surgery think go die', 'meditation u surgery think go die pain', 'meditation u surgery think go die pain bad', 'u', 'u surgery', 'u surgery think', 'u surgery think go', 'u surgery think go die', 'u surgery think go die pain', 'u surgery think go die pain bad', 'surgery', 'surgery think', 'surgery think go', 'surgery think go die', 'surgery think go die pain', 'surgery think go die pain bad', 'think', 'think go', 'think go die', 'think go die pain', 'think go die pain bad', 'go', 'go die', 'go die pain', 'go die pain bad', 'die', 'die pain', 'die pain bad', 'pain', 'pain bad', 'bad']",1,0,0,0.034482758620689655
168380,No issues with communication.,0,no issue communication,"['no', 'no issue', 'no issue communication', 'issue', 'issue communication', 'communication']",1,0,0,0.2222222222222222
