commentId,comment,classification,comment_processed,word_phrase_list,possible,expect,outline,similarity_score
133369,We feel very pampered in the best way possible.,0,feel pamper good way possible,"['feel', 'feel pamper', 'feel pamper good', 'feel pamper good way', 'feel pamper good way possible', 'pamper', 'pamper good', 'pamper good way', 'pamper good way possible', 'good', 'good way', 'good way possible', 'way', 'way possible', 'possible']",1,0,0,0.09523809523809523
91410,"Unfortunately, I expect a professional health-care office be able to provide accurate insurance information to patients.",1,unfortunately expect professional healthcare office able provide accurate insurance information patient,"['unfortunately', 'unfortunately expect', 'unfortunately expect professional', 'unfortunately expect professional healthcare', 'unfortunately expect professional healthcare office', 'unfortunately expect professional healthcare office able', 'unfortunately expect professional healthcare office able provide', 'unfortunately expect professional healthcare office able provide accurate', 'unfortunately expect professional healthcare office able provide accurate insurance', 'unfortunately expect professional healthcare office able provide accurate insurance information', 'unfortunately expect professional healthcare office able provide accurate insurance information patient', 'expect', 'expect professional', 'expect professional healthcare', 'expect professional healthcare office', 'expect professional healthcare office able', 'expect professional healthcare office able provide', 'expect professional healthcare office able provide accurate', 'expect professional healthcare office able provide accurate insurance', 'expect professional healthcare office able provide accurate insurance information', 'expect professional healthcare office able provide accurate insurance information patient', 'professional', 'professional healthcare', 'professional healthcare office', 'professional healthcare office able', 'professional healthcare office able provide', 'professional healthcare office able provide accurate', 'professional healthcare office able provide accurate insurance', 'professional healthcare office able provide accurate insurance information', 'professional healthcare office able provide accurate insurance information patient', 'healthcare', 'healthcare office', 'healthcare office able', 'healthcare office able provide', 'healthcare office able provide accurate', 'healthcare office able provide accurate insurance', 'healthcare office able provide accurate insurance information', 'healthcare office able provide accurate insurance information patient', 'office', 'office able', 'office able provide', 'office able provide accurate', 'office able provide accurate insurance', 'office able provide accurate insurance information', 'office able provide accurate insurance information patient', 'able', 'able provide', 'able provide accurate', 'able provide accurate insurance', 'able provide accurate insurance information', 'able provide accurate insurance information patient', 'provide', 'provide accurate', 'provide accurate insurance', 'provide accurate insurance information', 'provide accurate insurance information patient', 'accurate', 'accurate insurance', 'accurate insurance information', 'accurate insurance information patient', 'insurance', 'insurance information', 'insurance information patient', 'information', 'information patient', 'patient']",0,1,0,0.027777777777777776
125403,but also stays realistic with what can be expected.,0,stay realistic expect,"['stay', 'stay realistic', 'stay realistic expect', 'realistic', 'realistic expect', 'expect']",0,1,0,0.16666666666666666
128349,"I now feel great-there are days here and there that I have some pain but, that was to be expected and is tolerable.",0,feel greatthere day pain expect tolerable,"['feel', 'feel greatthere', 'feel greatthere day', 'feel greatthere day pain', 'feel greatthere day pain expect', 'feel greatthere day pain expect tolerable', 'greatthere', 'greatthere day', 'greatthere day pain', 'greatthere day pain expect', 'greatthere day pain expect tolerable', 'day', 'day pain', 'day pain expect', 'day pain expect tolerable', 'pain', 'pain expect', 'pain expect tolerable', 'expect', 'expect tolerable', 'tolerable']",0,1,0,0.07407407407407407
178441,Post-surgery Dr. Bonasso met with me on a daily basis and again was very informative about what to expect during my recovery.,0,postsurgery meet basis information expect recovery,"['postsurgery', 'postsurgery meet', 'postsurgery meet basis', 'postsurgery meet basis information', 'postsurgery meet basis information expect', 'postsurgery meet basis information expect recovery', 'meet', 'meet basis', 'meet basis information', 'meet basis information expect', 'meet basis information expect recovery', 'basis', 'basis information', 'basis information expect', 'basis information expect recovery', 'information', 'information expect', 'information expect recovery', 'expect', 'expect recovery', 'recovery']",0,1,0,0.07407407407407407
71044,I would never have thought this possible 4 weeks ago.,0,think possible,"['think', 'think possible', 'possible']",1,0,0,0.2222222222222222
109196,"He takes the time to listen to his patient's concerns, explain their medical condition and discuss possible treatments.",0,take time listen patient concern explain medical condition discus possible treatment,"['take', 'take time', 'take time listen', 'take time listen patient', 'take time listen patient concern', 'take time listen patient concern explain', 'take time listen patient concern explain medical', 'take time listen patient concern explain medical condition', 'take time listen patient concern explain medical condition discus', 'take time listen patient concern explain medical condition discus possible', 'take time listen patient concern explain medical condition discus possible treatment', 'time', 'time listen', 'time listen patient', 'time listen patient concern', 'time listen patient concern explain', 'time listen patient concern explain medical', 'time listen patient concern explain medical condition', 'time listen patient concern explain medical condition discus', 'time listen patient concern explain medical condition discus possible', 'time listen patient concern explain medical condition discus possible treatment', 'listen', 'listen patient', 'listen patient concern', 'listen patient concern explain', 'listen patient concern explain medical', 'listen patient concern explain medical condition', 'listen patient concern explain medical condition discus', 'listen patient concern explain medical condition discus possible', 'listen patient concern explain medical condition discus possible treatment', 'patient', 'patient concern', 'patient concern explain', 'patient concern explain medical', 'patient concern explain medical condition', 'patient concern explain medical condition discus', 'patient concern explain medical condition discus possible', 'patient concern explain medical condition discus possible treatment', 'concern', 'concern explain', 'concern explain medical', 'concern explain medical condition', 'concern explain medical condition discus', 'concern explain medical condition discus possible', 'concern explain medical condition discus possible treatment', 'explain', 'explain medical', 'explain medical condition', 'explain medical condition discus', 'explain medical condition discus possible', 'explain medical condition discus possible treatment', 'medical', 'medical condition', 'medical condition discus', 'medical condition discus possible', 'medical condition discus possible treatment', 'condition', 'condition discus', 'condition discus possible', 'condition discus possible treatment', 'discus', 'discus possible', 'discus possible treatment', 'possible', 'possible treatment', 'treatment']",1,0,0,0.027777777777777776
143820,"Lauren gave me all options including possible side effects, expectations and usage.",0,laurel give option include possible effect expectation usage,"['laurel', 'laurel give', 'laurel give option', 'laurel give option include', 'laurel give option include possible', 'laurel give option include possible effect', 'laurel give option include possible effect expectation', 'laurel give option include possible effect expectation usage', 'give', 'give option', 'give option include', 'give option include possible', 'give option include possible effect', 'give option include possible effect expectation', 'give option include possible effect expectation usage', 'option', 'option include', 'option include possible', 'option include possible effect', 'option include possible effect expectation', 'option include possible effect expectation usage', 'include', 'include possible', 'include possible effect', 'include possible effect expectation', 'include possible effect expectation usage', 'possible', 'possible effect', 'possible effect expectation', 'possible effect expectation usage', 'effect', 'effect expectation', 'effect expectation usage', 'expectation', 'expectation usage', 'usage']",1,0,0,0.047619047619047616
177791,I expected lasik to be a painless simple easy process like some may say but that is false it's scary and risky.,1,expect painless simple easy process like false scar risky,"['expect', 'expect painless', 'expect painless simple', 'expect painless simple easy', 'expect painless simple easy process', 'expect painless simple easy process like', 'expect painless simple easy process like false', 'expect painless simple easy process like false scar', 'expect painless simple easy process like false scar risky', 'painless', 'painless simple', 'painless simple easy', 'painless simple easy process', 'painless simple easy process like', 'painless simple easy process like false', 'painless simple easy process like false scar', 'painless simple easy process like false scar risky', 'simple', 'simple easy', 'simple easy process', 'simple easy process like', 'simple easy process like false', 'simple easy process like false scar', 'simple easy process like false scar risky', 'easy', 'easy process', 'easy process like', 'easy process like false', 'easy process like false scar', 'easy process like false scar risky', 'process', 'process like', 'process like false', 'process like false scar', 'process like false scar risky', 'like', 'like false', 'like false scar', 'like false scar risky', 'false', 'false scar', 'false scar risky', 'scar', 'scar risky', 'risky']",0,1,0,0.0392156862745098
159482,"I had been told I most likely needed a root canal, possible extraction (plus sedation for FILLINGS) only to find out..",1,tell likely need root canal possible extraction plus sedition fill find,"['tell', 'tell likely', 'tell likely need', 'tell likely need root', 'tell likely need root canal', 'tell likely need root canal possible', 'tell likely need root canal possible extraction', 'tell likely need root canal possible extraction plus', 'tell likely need root canal possible extraction plus sedition', 'tell likely need root canal possible extraction plus sedition fill', 'tell likely need root canal possible extraction plus sedition fill find', 'likely', 'likely need', 'likely need root', 'likely need root canal', 'likely need root canal possible', 'likely need root canal possible extraction', 'likely need root canal possible extraction plus', 'likely need root canal possible extraction plus sedition', 'likely need root canal possible extraction plus sedition fill', 'likely need root canal possible extraction plus sedition fill find', 'need', 'need root', 'need root canal', 'need root canal possible', 'need root canal possible extraction', 'need root canal possible extraction plus', 'need root canal possible extraction plus sedition', 'need root canal possible extraction plus sedition fill', 'need root canal possible extraction plus sedition fill find', 'root', 'root canal', 'root canal possible', 'root canal possible extraction', 'root canal possible extraction plus', 'root canal possible extraction plus sedition', 'root canal possible extraction plus sedition fill', 'root canal possible extraction plus sedition fill find', 'canal', 'canal possible', 'canal possible extraction', 'canal possible extraction plus', 'canal possible extraction plus sedition', 'canal possible extraction plus sedition fill', 'canal possible extraction plus sedition fill find', 'possible', 'possible extraction', 'possible extraction plus', 'possible extraction plus sedition', 'possible extraction plus sedition fill', 'possible extraction plus sedition fill find', 'extraction', 'extraction plus', 'extraction plus sedition', 'extraction plus sedition fill', 'extraction plus sedition fill find', 'plus', 'plus sedition', 'plus sedition fill', 'plus sedition fill find', 'sedition', 'sedition fill', 'sedition fill find', 'fill', 'fill find', 'find']",1,0,0,0.027777777777777776
