commentId,comment,classification,comment_processed,word_phrase_list,personal,personal professional,professional,similarity_score
165519,Never met the doctor but she needs to replace the entire front desk staff with some professionals.,1,meet need replace entire desk staff professional,"['meet', 'meet need', 'meet need replace', 'meet need replace entire', 'meet need replace entire desk', 'meet need replace entire desk staff', 'meet need replace entire desk staff professional', 'need', 'need replace', 'need replace entire', 'need replace entire desk', 'need replace entire desk staff', 'need replace entire desk staff professional', 'replace', 'replace entire', 'replace entire desk', 'replace entire desk staff', 'replace entire desk staff professional', 'entire', 'entire desk', 'entire desk staff', 'entire desk staff professional', 'desk', 'desk staff', 'desk staff professional', 'staff', 'staff professional', 'professional']",0,0,1,0.06451612903225806
179200,"for Dateline, and listened to country music (my personal favorite).",0,vaseline listen country music personal favorite,"['vaseline', 'vaseline listen', 'vaseline listen country', 'vaseline listen country music', 'vaseline listen country music personal', 'vaseline listen country music personal favorite', 'listen', 'listen country', 'listen country music', 'listen country music personal', 'listen country music personal favorite', 'country', 'country music', 'country music personal', 'country music personal favorite', 'music', 'music personal', 'music personal favorite', 'personal', 'personal favorite', 'favorite']",1,0,0,0.08333333333333333
149127,"He gave me a professional review and his opinion, I already had two other opinions.",0,give professional review opinion opinion,"['give', 'give professional', 'give professional review', 'give professional review opinion', 'give professional review opinion opinion', 'professional', 'professional review', 'professional review opinion', 'professional review opinion opinion', 'review', 'review opinion', 'review opinion opinion', 'opinion', 'opinion opinion', 'opinion']",0,0,1,0.1111111111111111
99000,"I told him what was bothering me, and right away, he gave me his professional opinion.",0,tell bother right away give professional opinion,"['tell', 'tell bother', 'tell bother right', 'tell bother right away', 'tell bother right away give', 'tell bother right away give professional', 'tell bother right away give professional opinion', 'bother', 'bother right', 'bother right away', 'bother right away give', 'bother right away give professional', 'bother right away give professional opinion', 'right', 'right away', 'right away give', 'right away give professional', 'right away give professional opinion', 'away', 'away give', 'away give professional', 'away give professional opinion', 'give', 'give professional', 'give professional opinion', 'professional', 'professional opinion', 'opinion']",0,0,1,0.06451612903225806
91410,"Unfortunately, I expect a professional health-care office be able to provide accurate insurance information to patients.",1,unfortunately expect professional healthcare office able provide accurate insurance information patient,"['unfortunately', 'unfortunately expect', 'unfortunately expect professional', 'unfortunately expect professional healthcare', 'unfortunately expect professional healthcare office', 'unfortunately expect professional healthcare office able', 'unfortunately expect professional healthcare office able provide', 'unfortunately expect professional healthcare office able provide accurate', 'unfortunately expect professional healthcare office able provide accurate insurance', 'unfortunately expect professional healthcare office able provide accurate insurance information', 'unfortunately expect professional healthcare office able provide accurate insurance information patient', 'expect', 'expect professional', 'expect professional healthcare', 'expect professional healthcare office', 'expect professional healthcare office able', 'expect professional healthcare office able provide', 'expect professional healthcare office able provide accurate', 'expect professional healthcare office able provide accurate insurance', 'expect professional healthcare office able provide accurate insurance information', 'expect professional healthcare office able provide accurate insurance information patient', 'professional', 'professional healthcare', 'professional healthcare office', 'professional healthcare office able', 'professional healthcare office able provide', 'professional healthcare office able provide accurate', 'professional healthcare office able provide accurate insurance', 'professional healthcare office able provide accurate insurance information', 'professional healthcare office able provide accurate insurance information patient', 'healthcare', 'healthcare office', 'healthcare office able', 'healthcare office able provide', 'healthcare office able provide accurate', 'healthcare office able provide accurate insurance', 'healthcare office able provide accurate insurance information', 'healthcare office able provide accurate insurance information patient', 'office', 'office able', 'office able provide', 'office able provide accurate', 'office able provide accurate insurance', 'office able provide accurate insurance information', 'office able provide accurate insurance information patient', 'able', 'able provide', 'able provide accurate', 'able provide accurate insurance', 'able provide accurate insurance information', 'able provide accurate insurance information patient', 'provide', 'provide accurate', 'provide accurate insurance', 'provide accurate insurance information', 'provide accurate insurance information patient', 'accurate', 'accurate insurance', 'accurate insurance information', 'accurate insurance information patient', 'insurance', 'insurance information', 'insurance information patient', 'information', 'information patient', 'patient']",0,0,1,0.028985507246376812
59949,"Very candid, very professional, and personable.",0,candid professional personal,"['candid', 'candid professional', 'candid professional personal', 'professional', 'professional personal', 'personal']",1,0,1,0.4444444444444444
144757,and the front desk staff AND both medical professionals I have seen could CARE LESS!,1,desk staff medical professional see care,"['desk', 'desk staff', 'desk staff medical', 'desk staff medical professional', 'desk staff medical professional see', 'desk staff medical professional see care', 'staff', 'staff medical', 'staff medical professional', 'staff medical professional see', 'staff medical professional see care', 'medical', 'medical professional', 'medical professional see', 'medical professional see care', 'professional', 'professional see', 'professional see care', 'see', 'see care', 'care']",0,0,1,0.08333333333333333
164260,"Muy buena experiencia en mi cirugia , todo muy limpio y personal de cuidado muy atento y amable .",0,experience en mi cirugia limit y personal delaware cuidado agent y amiable,"['experience', 'experience en', 'experience en mi', 'experience en mi cirugia', 'experience en mi cirugia limit', 'experience en mi cirugia limit y', 'experience en mi cirugia limit y personal', 'experience en mi cirugia limit y personal delaware', 'experience en mi cirugia limit y personal delaware cuidado', 'experience en mi cirugia limit y personal delaware cuidado agent', 'experience en mi cirugia limit y personal delaware cuidado agent y', 'experience en mi cirugia limit y personal delaware cuidado agent y amiable', 'en', 'en mi', 'en mi cirugia', 'en mi cirugia limit', 'en mi cirugia limit y', 'en mi cirugia limit y personal', 'en mi cirugia limit y personal delaware', 'en mi cirugia limit y personal delaware cuidado', 'en mi cirugia limit y personal delaware cuidado agent', 'en mi cirugia limit y personal delaware cuidado agent y', 'en mi cirugia limit y personal delaware cuidado agent y amiable', 'mi', 'mi cirugia', 'mi cirugia limit', 'mi cirugia limit y', 'mi cirugia limit y personal', 'mi cirugia limit y personal delaware', 'mi cirugia limit y personal delaware cuidado', 'mi cirugia limit y personal delaware cuidado agent', 'mi cirugia limit y personal delaware cuidado agent y', 'mi cirugia limit y personal delaware cuidado agent y amiable', 'cirugia', 'cirugia limit', 'cirugia limit y', 'cirugia limit y personal', 'cirugia limit y personal delaware', 'cirugia limit y personal delaware cuidado', 'cirugia limit y personal delaware cuidado agent', 'cirugia limit y personal delaware cuidado agent y', 'cirugia limit y personal delaware cuidado agent y amiable', 'limit', 'limit y', 'limit y personal', 'limit y personal delaware', 'limit y personal delaware cuidado', 'limit y personal delaware cuidado agent', 'limit y personal delaware cuidado agent y', 'limit y personal delaware cuidado agent y amiable', 'y', 'y personal', 'y personal delaware', 'y personal delaware cuidado', 'y personal delaware cuidado agent', 'y personal delaware cuidado agent y', 'y personal delaware cuidado agent y amiable', 'personal', 'personal delaware', 'personal delaware cuidado', 'personal delaware cuidado agent', 'personal delaware cuidado agent y', 'personal delaware cuidado agent y amiable', 'delaware', 'delaware cuidado', 'delaware cuidado agent', 'delaware cuidado agent y', 'delaware cuidado agent y amiable', 'cuidado', 'cuidado agent', 'cuidado agent y', 'cuidado agent y amiable', 'agent', 'agent y', 'agent y amiable', 'y', 'y amiable', 'amiable']",1,0,0,0.024691358024691357
111656,"Totally unprofessional, highly unorganized staff, have been straight out lied to multiple times.",1,wholly professional highly unorganized staff straight lie multiple time,"['wholly', 'wholly professional', 'wholly professional highly', 'wholly professional highly unorganized', 'wholly professional highly unorganized staff', 'wholly professional highly unorganized staff straight', 'wholly professional highly unorganized staff straight lie', 'wholly professional highly unorganized staff straight lie multiple', 'wholly professional highly unorganized staff straight lie multiple time', 'professional', 'professional highly', 'professional highly unorganized', 'professional highly unorganized staff', 'professional highly unorganized staff straight', 'professional highly unorganized staff straight lie', 'professional highly unorganized staff straight lie multiple', 'professional highly unorganized staff straight lie multiple time', 'highly', 'highly unorganized', 'highly unorganized staff', 'highly unorganized staff straight', 'highly unorganized staff straight lie', 'highly unorganized staff straight lie multiple', 'highly unorganized staff straight lie multiple time', 'unorganized', 'unorganized staff', 'unorganized staff straight', 'unorganized staff straight lie', 'unorganized staff straight lie multiple', 'unorganized staff straight lie multiple time', 'staff', 'staff straight', 'staff straight lie', 'staff straight lie multiple', 'staff straight lie multiple time', 'straight', 'straight lie', 'straight lie multiple', 'straight lie multiple time', 'lie', 'lie multiple', 'lie multiple time', 'multiple', 'multiple time', 'time']",0,0,1,0.041666666666666664
129152,"If you're looking for a very professional, knowledgeable, personable, caring, funny doctor to put your trust in, look no further.",0,look professional knowledgeable personal dare funny trust look no,"['look', 'look professional', 'look professional knowledgeable', 'look professional knowledgeable personal', 'look professional knowledgeable personal dare', 'look professional knowledgeable personal dare funny', 'look professional knowledgeable personal dare funny trust', 'look professional knowledgeable personal dare funny trust look', 'look professional knowledgeable personal dare funny trust look no', 'professional', 'professional knowledgeable', 'professional knowledgeable personal', 'professional knowledgeable personal dare', 'professional knowledgeable personal dare funny', 'professional knowledgeable personal dare funny trust', 'professional knowledgeable personal dare funny trust look', 'professional knowledgeable personal dare funny trust look no', 'knowledgeable', 'knowledgeable personal', 'knowledgeable personal dare', 'knowledgeable personal dare funny', 'knowledgeable personal dare funny trust', 'knowledgeable personal dare funny trust look', 'knowledgeable personal dare funny trust look no', 'personal', 'personal dare', 'personal dare funny', 'personal dare funny trust', 'personal dare funny trust look', 'personal dare funny trust look no', 'dare', 'dare funny', 'dare funny trust', 'dare funny trust look', 'dare funny trust look no', 'funny', 'funny trust', 'funny trust look', 'funny trust look no', 'trust', 'trust look', 'trust look no', 'look', 'look no', 'no']",1,0,1,0.08333333333333333
