commentId,comment,classification,comment_processed,word_phrase_list,beauty,mention,need,need sort,sort,massage,similarity_score
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,doctor come make big deal line say need come recommendation,"['doctor', 'doctor come', 'doctor come make', 'doctor come make big', 'doctor come make big deal', 'doctor come make big deal line', 'doctor come make big deal line say', 'doctor come make big deal line say need', 'doctor come make big deal line say need come', 'doctor come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",0,0,1,0,0,0,0.125
165519,Never met the doctor but she needs to replace the entire front desk staff with some professionals.,1,meet doctor need replace entire desk staff professional,"['meet', 'meet doctor', 'meet doctor need', 'meet doctor need replace', 'meet doctor need replace entire', 'meet doctor need replace entire desk', 'meet doctor need replace entire desk staff', 'meet doctor need replace entire desk staff professional', 'doctor', 'doctor need', 'doctor need replace', 'doctor need replace entire', 'doctor need replace entire desk', 'doctor need replace entire desk staff', 'doctor need replace entire desk staff professional', 'need', 'need replace', 'need replace entire', 'need replace entire desk', 'need replace entire desk staff', 'need replace entire desk staff professional', 'replace', 'replace entire', 'replace entire desk', 'replace entire desk staff', 'replace entire desk staff professional', 'entire', 'entire desk', 'entire desk staff', 'entire desk staff professional', 'desk', 'desk staff', 'desk staff professional', 'staff', 'staff professional', 'professional']",0,0,1,0,0,0,0.125
150083,This man and his staff need.to be stopped from harming others.,1,man staff need stop harm,"['man', 'man staff', 'man staff need', 'man staff need stop', 'man staff need stop harm', 'staff', 'staff need', 'staff need stop', 'staff need stop harm', 'need', 'need stop', 'need stop harm', 'stop', 'stop harm', 'harm']",0,0,1,0,0,0,0.125
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",0,0,1,0,0,0,0.125
73118,our life is just where it needs to be.,0,life need,"['life', 'life need', 'need']",0,0,1,0,0,0,0.125
140496,Dr is amazing the front staff needs to learn customer service!,1,dr amaze staff need learn customer service,"['dr', 'dr amaze', 'dr amaze staff', 'dr amaze staff need', 'dr amaze staff need learn', 'dr amaze staff need learn customer', 'dr amaze staff need learn customer service', 'amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",0,0,1,0,0,0,0.125
83051,They need more complaints to do anything.,1,need complaint,"['need', 'need complaint', 'complaint']",0,0,1,0,0,0,0.125
123347,I can access Dr. Marcus when needed.,0,access dr marcus need,"['access', 'access dr', 'access dr marcus', 'access dr marcus need', 'dr', 'dr marcus', 'dr marcus need', 'marcus', 'marcus need', 'need']",0,0,1,0,0,0,0.125
186663,for 10 years until he needed his first surgery.,0,need surgery,"['need', 'need surgery', 'surgery']",0,0,1,0,0,0,0.125
183848,"I don't even need to use the nasal spray, it's been so life changing.",0,need use nasal spray life change,"['need', 'need use', 'need use nasal', 'need use nasal spray', 'need use nasal spray life', 'need use nasal spray life change', 'use', 'use nasal', 'use nasal spray', 'use nasal spray life', 'use nasal spray life change', 'nasal', 'nasal spray', 'nasal spray life', 'nasal spray life change', 'spray', 'spray life', 'spray life change', 'life', 'life change', 'change']",0,0,1,0,0,0,0.125
