commentId,comment,classification,comment_processed,word_phrase_list,dislike,dislike guy,guy,similarity_score
118502,I really dislike this bariatric center.,1,dislike barbaric center,"['dislike', 'dislike barbaric', 'dislike barbaric center', 'barbaric', 'barbaric center', 'center']",1,0,0,0.2222222222222222
188416,If your desire is to pay thousands of dollars to be treated like crap. ....this is your guy. . He,1,desire pay treat like cap guy,"['desire', 'desire pay', 'desire pay treat', 'desire pay treat like', 'desire pay treat like cap', 'desire pay treat like cap guy', 'pay', 'pay treat', 'pay treat like', 'pay treat like cap', 'pay treat like cap guy', 'treat', 'treat like', 'treat like cap', 'treat like cap guy', 'like', 'like cap', 'like cap guy', 'cap', 'cap guy', 'guy']",0,0,1,0.08333333333333333
100516,Nice guy.,0,nice guy,"['nice', 'nice guy', 'guy']",0,0,1,0.3333333333333333
87451,"The guy that took my room, did not introduce himself.",1,guy take room not introduce,"['guy', 'guy take', 'guy take room', 'guy take room not', 'guy take room not introduce', 'take', 'take room', 'take room not', 'take room not introduce', 'room', 'room not', 'room not introduce', 'not', 'not introduce', 'introduce']",0,0,1,0.1111111111111111
191499,I regretted I did not just pick a guy few blocks from my house to,1,regret not pick guy block house,"['regret', 'regret not', 'regret not pick', 'regret not pick guy', 'regret not pick guy block', 'regret not pick guy block house', 'not', 'not pick', 'not pick guy', 'not pick guy block', 'not pick guy block house', 'pick', 'pick guy', 'pick guy block', 'pick guy block house', 'guy', 'guy block', 'guy block house', 'block', 'block house', 'house']",0,0,1,0.08333333333333333
65360,He's a good guy and he answered my questions,0,good guy answer question,"['good', 'good guy', 'good guy answer', 'good guy answer question', 'guy', 'guy answer', 'guy answer question', 'answer', 'answer question', 'question']",0,0,1,0.15384615384615385
106138,"If you have had inappropriate advances from this guy, I would encourage you to file a complaint at elicense.ohio.gov.",1,inappropriate advance guy encourage file complaint elicenseohiogov,"['inappropriate', 'inappropriate advance', 'inappropriate advance guy', 'inappropriate advance guy encourage', 'inappropriate advance guy encourage file', 'inappropriate advance guy encourage file complaint', 'inappropriate advance guy encourage file complaint elicenseohiogov', 'advance', 'advance guy', 'advance guy encourage', 'advance guy encourage file', 'advance guy encourage file complaint', 'advance guy encourage file complaint elicenseohiogov', 'guy', 'guy encourage', 'guy encourage file', 'guy encourage file complaint', 'guy encourage file complaint elicenseohiogov', 'encourage', 'encourage file', 'encourage file complaint', 'encourage file complaint elicenseohiogov', 'file', 'file complaint', 'file complaint elicenseohiogov', 'complaint', 'complaint elicenseohiogov', 'elicenseohiogov']",0,0,1,0.06451612903225806
186877,"If you have skin cancer and are commuting to this guy from hours away,",1,skin cancer commute guy away,"['skin', 'skin cancer', 'skin cancer commute', 'skin cancer commute guy', 'skin cancer commute guy away', 'cancer', 'cancer commute', 'cancer commute guy', 'cancer commute guy away', 'commute', 'commute guy', 'commute guy away', 'guy', 'guy away', 'away']",0,0,1,0.1111111111111111
125747,A normal easy going guy.,0,normal easy go guy,"['normal', 'normal easy', 'normal easy go', 'normal easy go guy', 'easy', 'easy go', 'easy go guy', 'go', 'go guy', 'guy']",0,0,1,0.15384615384615385
93691,"I don't know how else to explain it except that the dentists here seem grumpy and unhappy, like they dislike what they do.",1,know explain dentist crabbed unhappy like dislike,"['know', 'know explain', 'know explain dentist', 'know explain dentist crabbed', 'know explain dentist crabbed unhappy', 'know explain dentist crabbed unhappy like', 'know explain dentist crabbed unhappy like dislike', 'explain', 'explain dentist', 'explain dentist crabbed', 'explain dentist crabbed unhappy', 'explain dentist crabbed unhappy like', 'explain dentist crabbed unhappy like dislike', 'dentist', 'dentist crabbed', 'dentist crabbed unhappy', 'dentist crabbed unhappy like', 'dentist crabbed unhappy like dislike', 'crabbed', 'crabbed unhappy', 'crabbed unhappy like', 'crabbed unhappy like dislike', 'unhappy', 'unhappy like', 'unhappy like dislike', 'like', 'like dislike', 'dislike']",1,0,0,0.06451612903225806
133513,"any further when your looking for a facial plastic surgeon ,this is the guy..",0,look facial plastic surgeon guy,"['look', 'look facial', 'look facial plastic', 'look facial plastic surgeon', 'look facial plastic surgeon guy', 'facial', 'facial plastic', 'facial plastic surgeon', 'facial plastic surgeon guy', 'plastic', 'plastic surgeon', 'plastic surgeon guy', 'surgeon', 'surgeon guy', 'guy']",0,0,1,0.1111111111111111
184242,Does this guy know what he is doing????,1,guy know,"['guy', 'guy know', 'know']",0,0,1,0.3333333333333333
61739,He's a nice guy; efficient,0,nice guy efficient,"['nice', 'nice guy', 'nice guy efficient', 'guy', 'guy efficient', 'efficient']",0,0,1,0.2222222222222222
117596,Can't even call this guy a Doctor.,1,guy,['guy'],0,0,1,0.5
135579,"If you need work done, this is your guy.",0,need work guy,"['need', 'need work', 'need work guy', 'work', 'work guy', 'guy']",0,0,1,0.2222222222222222
170313,"So I am RE-POSTING IT AGAIN- I expected to see a Dr. of medicine, a professional plastic surgeon, instead I got a RAGING GUY.",1,report expect medicine professional plastic surgeon instead get rag guy,"['report', 'report expect', 'report expect medicine', 'report expect medicine professional', 'report expect medicine professional plastic', 'report expect medicine professional plastic surgeon', 'report expect medicine professional plastic surgeon instead', 'report expect medicine professional plastic surgeon instead get', 'report expect medicine professional plastic surgeon instead get rag', 'report expect medicine professional plastic surgeon instead get rag guy', 'expect', 'expect medicine', 'expect medicine professional', 'expect medicine professional plastic', 'expect medicine professional plastic surgeon', 'expect medicine professional plastic surgeon instead', 'expect medicine professional plastic surgeon instead get', 'expect medicine professional plastic surgeon instead get rag', 'expect medicine professional plastic surgeon instead get rag guy', 'medicine', 'medicine professional', 'medicine professional plastic', 'medicine professional plastic surgeon', 'medicine professional plastic surgeon instead', 'medicine professional plastic surgeon instead get', 'medicine professional plastic surgeon instead get rag', 'medicine professional plastic surgeon instead get rag guy', 'professional', 'professional plastic', 'professional plastic surgeon', 'professional plastic surgeon instead', 'professional plastic surgeon instead get', 'professional plastic surgeon instead get rag', 'professional plastic surgeon instead get rag guy', 'plastic', 'plastic surgeon', 'plastic surgeon instead', 'plastic surgeon instead get', 'plastic surgeon instead get rag', 'plastic surgeon instead get rag guy', 'surgeon', 'surgeon instead', 'surgeon instead get', 'surgeon instead get rag', 'surgeon instead get rag guy', 'instead', 'instead get', 'instead get rag', 'instead get rag guy', 'get', 'get rag', 'get rag guy', 'rag', 'rag guy', 'guy']",0,0,1,0.034482758620689655
101382,The doc is a really nice guy,0,nice guy,"['nice', 'nice guy', 'guy']",0,0,1,0.3333333333333333
175555,"not as friendly, a great guy Ron left a few month ago, he know you",1,not friendly great guy leave know,"['not', 'not friendly', 'not friendly great', 'not friendly great guy', 'not friendly great guy leave', 'not friendly great guy leave know', 'friendly', 'friendly great', 'friendly great guy', 'friendly great guy leave', 'friendly great guy leave know', 'great', 'great guy', 'great guy leave', 'great guy leave know', 'guy', 'guy leave', 'guy leave know', 'leave', 'leave know', 'know']",0,0,1,0.08333333333333333
77536,Radiology ok. What a happy guy.,0,radiology ok happy guy,"['radiology', 'radiology ok', 'radiology ok happy', 'radiology ok happy guy', 'ok', 'ok happy', 'ok happy guy', 'happy', 'happy guy', 'guy']",0,0,1,0.15384615384615385
190350,"If your back's been staging a rebellion, he's the guy to restore order.",0,back stay rebellion guy restore order,"['back', 'back stay', 'back stay rebellion', 'back stay rebellion guy', 'back stay rebellion guy restore', 'back stay rebellion guy restore order', 'stay', 'stay rebellion', 'stay rebellion guy', 'stay rebellion guy restore', 'stay rebellion guy restore order', 'rebellion', 'rebellion guy', 'rebellion guy restore', 'rebellion guy restore order', 'guy', 'guy restore', 'guy restore order', 'restore', 'restore order', 'order']",0,0,1,0.08333333333333333
165190,This guy is definitely a grifter.,1,guy decidedly great,"['guy', 'guy decidedly', 'guy decidedly great', 'decidedly', 'decidedly great', 'great']",0,0,1,0.2222222222222222
