commentId,comment,classification,comment_processed,word_phrase_list,facility,far,hygienic,similarity_score
64485,We haven't been disappointed so far.,0,disappoint far,"['disappoint', 'disappoint far', 'far']",0,1,0,0.2857142857142857
152538,This was by far the worst doctors visit I have experienced in 40 years.,1,far bad doctor visit experience,"['far', 'far bad', 'far bad doctor', 'far bad doctor visit', 'far bad doctor visit experience', 'bad', 'bad doctor', 'bad doctor visit', 'bad doctor visit experience', 'doctor', 'doctor visit', 'doctor visit experience', 'visit', 'visit experience', 'experience']",0,1,0,0.2857142857142857
141000,"One of the best dr appointments I have been to thus far, will definitely make her a Dr for Life!!",0,good dr appointment far decidedly dr life,"['good', 'good dr', 'good dr appointment', 'good dr appointment far', 'good dr appointment far decidedly', 'good dr appointment far decidedly dr', 'good dr appointment far decidedly dr life', 'dr', 'dr appointment', 'dr appointment far', 'dr appointment far decidedly', 'dr appointment far decidedly dr', 'dr appointment far decidedly dr life', 'appointment', 'appointment far', 'appointment far decidedly', 'appointment far decidedly dr', 'appointment far decidedly dr life', 'far', 'far decidedly', 'far decidedly dr', 'far decidedly dr life', 'decidedly', 'decidedly dr', 'decidedly dr life', 'dr', 'dr life', 'life']",0,1,0,0.2857142857142857
59290,The facility itself could be a little bit nicer facility.,1,facility little bit nice facility,"['facility', 'facility little', 'facility little bit', 'facility little bit nice', 'facility little bit nice facility', 'little', 'little bit', 'little bit nice', 'little bit nice facility', 'bit', 'bit nice', 'bit nice facility', 'nice', 'nice facility', 'facility']",1,0,0,0.2857142857142857
176224,but far too much for my taste.,1,far taste,"['far', 'far taste', 'taste']",0,1,0,0.2857142857142857
131673,I am only 2 weeks post-op and I could not be any happier with my results this far.,0,rostov happy result far,"['rostov', 'rostov happy', 'rostov happy result', 'rostov happy result far', 'happy', 'happy result', 'happy result far', 'result', 'result far', 'far']",0,1,0,0.2857142857142857
170343,OrthoVA is a good facility and their health system is modern.,0,good facility health system modern,"['good', 'good facility', 'good facility health', 'good facility health system', 'good facility health system modern', 'facility', 'facility health', 'facility health system', 'facility health system modern', 'health', 'health system', 'health system modern', 'system', 'system modern', 'modern']",1,0,0,0.2857142857142857
178782,"The hygienist rooms are themed, like the Harley Davidson motorcycle room!",0,hygienic room theme like room,"['hygienic', 'hygienic room', 'hygienic room theme', 'hygienic room theme like', 'hygienic room theme like room', 'room', 'room theme', 'room theme like', 'room theme like room', 'theme', 'theme like', 'theme like room', 'like', 'like room', 'room']",0,0,1,0.2857142857142857
127819,Over the years we?ve heard far too many people with concerns that they are getting diluted Botox.,1,ve hear far people concern get dilute,"['ve', 've hear', 've hear far', 've hear far people', 've hear far people concern', 've hear far people concern get', 've hear far people concern get dilute', 'hear', 'hear far', 'hear far people', 'hear far people concern', 'hear far people concern get', 'hear far people concern get dilute', 'far', 'far people', 'far people concern', 'far people concern get', 'far people concern get dilute', 'people', 'people concern', 'people concern get', 'people concern get dilute', 'concern', 'concern get', 'concern get dilute', 'get', 'get dilute', 'dilute']",0,1,0,0.2857142857142857
186761,"Everyone from the office staff, techs, hygienist, dentists and Dr Ignatowitcz are all top notch.",0,office staff tear hygienic dentist notch,"['office', 'office staff', 'office staff tear', 'office staff tear hygienic', 'office staff tear hygienic dentist', 'office staff tear hygienic dentist notch', 'staff', 'staff tear', 'staff tear hygienic', 'staff tear hygienic dentist', 'staff tear hygienic dentist notch', 'tear', 'tear hygienic', 'tear hygienic dentist', 'tear hygienic dentist notch', 'hygienic', 'hygienic dentist', 'hygienic dentist notch', 'dentist', 'dentist notch', 'notch']",0,0,1,0.2857142857142857
163475,"My hygienist K"" was very professional, skilled, and showed excellent personal interest.",0,hygienic k professional skilled show excellent personal interest,"['hygienic', 'hygienic k', 'hygienic k professional', 'hygienic k professional skilled', 'hygienic k professional skilled show', 'hygienic k professional skilled show excellent', 'hygienic k professional skilled show excellent personal', 'hygienic k professional skilled show excellent personal interest', 'k', 'k professional', 'k professional skilled', 'k professional skilled show', 'k professional skilled show excellent', 'k professional skilled show excellent personal', 'k professional skilled show excellent personal interest', 'professional', 'professional skilled', 'professional skilled show', 'professional skilled show excellent', 'professional skilled show excellent personal', 'professional skilled show excellent personal interest', 'skilled', 'skilled show', 'skilled show excellent', 'skilled show excellent personal', 'skilled show excellent personal interest', 'show', 'show excellent', 'show excellent personal', 'show excellent personal interest', 'excellent', 'excellent personal', 'excellent personal interest', 'personal', 'personal interest', 'interest']",0,0,1,0.2857142857142857
139832,"Very nice and patient people,listened and answered all my questions.Today was my second visit and the hygienist and dentist were awesome!",0,nice patient peoplelistened answer questionstoday visit hygienic dentist amazing,"['nice', 'nice patient', 'nice patient peoplelistened', 'nice patient peoplelistened answer', 'nice patient peoplelistened answer questionstoday', 'nice patient peoplelistened answer questionstoday visit', 'nice patient peoplelistened answer questionstoday visit hygienic', 'nice patient peoplelistened answer questionstoday visit hygienic dentist', 'nice patient peoplelistened answer questionstoday visit hygienic dentist amazing', 'patient', 'patient peoplelistened', 'patient peoplelistened answer', 'patient peoplelistened answer questionstoday', 'patient peoplelistened answer questionstoday visit', 'patient peoplelistened answer questionstoday visit hygienic', 'patient peoplelistened answer questionstoday visit hygienic dentist', 'patient peoplelistened answer questionstoday visit hygienic dentist amazing', 'peoplelistened', 'peoplelistened answer', 'peoplelistened answer questionstoday', 'peoplelistened answer questionstoday visit', 'peoplelistened answer questionstoday visit hygienic', 'peoplelistened answer questionstoday visit hygienic dentist', 'peoplelistened answer questionstoday visit hygienic dentist amazing', 'answer', 'answer questionstoday', 'answer questionstoday visit', 'answer questionstoday visit hygienic', 'answer questionstoday visit hygienic dentist', 'answer questionstoday visit hygienic dentist amazing', 'questionstoday', 'questionstoday visit', 'questionstoday visit hygienic', 'questionstoday visit hygienic dentist', 'questionstoday visit hygienic dentist amazing', 'visit', 'visit hygienic', 'visit hygienic dentist', 'visit hygienic dentist amazing', 'hygienic', 'hygienic dentist', 'hygienic dentist amazing', 'dentist', 'dentist amazing', 'amazing']",0,0,1,0.2857142857142857
144761,Fast forward seven years and my lips are far from soft and natural-looking.,1,fast forward lip far soft naturallooking,"['fast', 'fast forward', 'fast forward lip', 'fast forward lip far', 'fast forward lip far soft', 'fast forward lip far soft naturallooking', 'forward', 'forward lip', 'forward lip far', 'forward lip far soft', 'forward lip far soft naturallooking', 'lip', 'lip far', 'lip far soft', 'lip far soft naturallooking', 'far', 'far soft', 'far soft naturallooking', 'soft', 'soft naturallooking', 'naturallooking']",0,1,0,0.2857142857142857
89590,I would not recommend anyone to any other facility or staff.,0,recommend facility staff,"['recommend', 'recommend facility', 'recommend facility staff', 'facility', 'facility staff', 'staff']",1,0,0,0.2857142857142857
85520,The outcome is far greater than I could have ever anticipated!,0,result far great anticipate,"['result', 'result far', 'result far great', 'result far great anticipate', 'far', 'far great', 'far great anticipate', 'great', 'great anticipate', 'anticipate']",0,1,0,0.2857142857142857
161431,I have been extremely pleased with the customer service at this facility.,0,extremely please customer service facility,"['extremely', 'extremely please', 'extremely please customer', 'extremely please customer service', 'extremely please customer service facility', 'please', 'please customer', 'please customer service', 'please customer service facility', 'customer', 'customer service', 'customer service facility', 'service', 'service facility', 'facility']",1,0,0,0.2857142857142857
119786,I selected Dr. Soto and so far very happy I did!,0,choose far happy,"['choose', 'choose far', 'choose far happy', 'far', 'far happy', 'happy']",0,1,0,0.2857142857142857
165749,IV drips are my fav!,0,four drop far,"['four', 'four drop', 'four drop far', 'drop', 'drop far', 'far']",0,1,0,0.2857142857142857
72371,This was by far the most pertinent exam I have had.,0,far permanent examination,"['far', 'far permanent', 'far permanent examination', 'permanent', 'permanent examination', 'examination']",0,1,0,0.2857142857142857
100672,My weight loss journey has been a very positive one thus far.,0,weight loss journey positive far,"['weight', 'weight loss', 'weight loss journey', 'weight loss journey positive', 'weight loss journey positive far', 'loss', 'loss journey', 'loss journey positive', 'loss journey positive far', 'journey', 'journey positive', 'journey positive far', 'positive', 'positive far', 'far']",0,1,0,0.2857142857142857
