commentId,comment,classification,comment_processed,word_phrase_list,calm,sweetness,visit,similarity_score
152538,This was by far the worst doctors visit I have experienced in 40 years.,1,far bad doctor visit experience,"['far', 'far bad', 'far bad doctor', 'far bad doctor visit', 'far bad doctor visit experience', 'bad', 'bad doctor', 'bad doctor visit', 'bad doctor visit experience', 'doctor', 'doctor visit', 'doctor visit experience', 'visit', 'visit experience', 'experience']",0,0,1,0.12820512820512822
69974,I always feel like im in good hands when i visit this office.,0,feel like good hand visit office,"['feel', 'feel like', 'feel like good', 'feel like good hand', 'feel like good hand visit', 'feel like good hand visit office', 'like', 'like good', 'like good hand', 'like good hand visit', 'like good hand visit office', 'good', 'good hand', 'good hand visit', 'good hand visit office', 'hand', 'hand visit', 'hand visit office', 'visit', 'visit office', 'office']",0,0,1,0.1111111111111111
82122,I've never had such an amazing dental visit!,0,amaze dental visit,"['amaze', 'amaze dental', 'amaze dental visit', 'dental', 'dental visit', 'visit']",0,0,1,0.16666666666666666
57688,"Tell us what is going on with the visit, what is getting done.",1,tell go visit get,"['tell', 'tell go', 'tell go visit', 'tell go visit get', 'go', 'go visit', 'go visit get', 'visit', 'visit get', 'get']",0,0,1,0.14705882352941177
164353,The day of the surgery came and Dr. Layliev and his team were so comforting and calmed me down immediately.,0,surgery come team comfort calm immediately,"['surgery', 'surgery come', 'surgery come team', 'surgery come team comfort', 'surgery come team comfort calm', 'surgery come team comfort calm immediately', 'come', 'come team', 'come team comfort', 'come team comfort calm', 'come team comfort calm immediately', 'team', 'team comfort', 'team comfort calm', 'team comfort calm immediately', 'comfort', 'comfort calm', 'comfort calm immediately', 'calm', 'calm immediately', 'immediately']",1,0,0,0.1111111111111111
185883,They yelled at my daughter when she requested an in person visit.,1,yell daughter request person visit,"['yell', 'yell daughter', 'yell daughter request', 'yell daughter request person', 'yell daughter request person visit', 'daughter', 'daughter request', 'daughter request person', 'daughter request person visit', 'request', 'request person', 'request person visit', 'person', 'person visit', 'visit']",0,0,1,0.12820512820512822
166560,I just got a call from Dr. Smolen's office she requires a visit to fill out the form.,1,get dr smolensk office require visit fill form,"['get', 'get dr', 'get dr smolensk', 'get dr smolensk office', 'get dr smolensk office require', 'get dr smolensk office require visit', 'get dr smolensk office require visit fill', 'get dr smolensk office require visit fill form', 'dr', 'dr smolensk', 'dr smolensk office', 'dr smolensk office require', 'dr smolensk office require visit', 'dr smolensk office require visit fill', 'dr smolensk office require visit fill form', 'smolensk', 'smolensk office', 'smolensk office require', 'smolensk office require visit', 'smolensk office require visit fill', 'smolensk office require visit fill form', 'office', 'office require', 'office require visit', 'office require visit fill', 'office require visit fill form', 'require', 'require visit', 'require visit fill', 'require visit fill form', 'visit', 'visit fill', 'visit fill form', 'fill', 'fill form', 'form']",0,0,1,0.08333333333333334
89009,and spends your visit talking about herself rather than your health care!,1,spend visit talk health care,"['spend', 'spend visit', 'spend visit talk', 'spend visit talk health', 'spend visit talk health care', 'visit', 'visit talk', 'visit talk health', 'visit talk health care', 'talk', 'talk health', 'talk health care', 'health', 'health care', 'care']",0,0,1,0.12820512820512822
57692,"For the visit nothing, but the payments for my treatments come in such little pieces. ",1,visit payment treatment come little piece,"['visit', 'visit payment', 'visit payment treatment', 'visit payment treatment come', 'visit payment treatment come little', 'visit payment treatment come little piece', 'payment', 'payment treatment', 'payment treatment come', 'payment treatment come little', 'payment treatment come little piece', 'treatment', 'treatment come', 'treatment come little', 'treatment come little piece', 'come', 'come little', 'come little piece', 'little', 'little piece', 'piece']",0,0,1,0.1111111111111111
93703,this is the first time we have not been visited by the doctor afterwards for a quick briefing.,1,time not visit doctor quick bring,"['time', 'time not', 'time not visit', 'time not visit doctor', 'time not visit doctor quick', 'time not visit doctor quick bring', 'not', 'not visit', 'not visit doctor', 'not visit doctor quick', 'not visit doctor quick bring', 'visit', 'visit doctor', 'visit doctor quick', 'visit doctor quick bring', 'doctor', 'doctor quick', 'doctor quick bring', 'quick', 'quick bring', 'bring']",0,0,1,0.1111111111111111
57695,I was very pleased with my visit.,0,please visit,"['please', 'please visit', 'visit']",0,0,1,0.18518518518518517
96923,"This has been my first visit to Dr. Fraser's new location, which is convenient being in the Costwold area.",0,visit dr framer new location convenient costwold area,"['visit', 'visit dr', 'visit dr framer', 'visit dr framer new', 'visit dr framer new location', 'visit dr framer new location convenient', 'visit dr framer new location convenient costwold', 'visit dr framer new location convenient costwold area', 'dr', 'dr framer', 'dr framer new', 'dr framer new location', 'dr framer new location convenient', 'dr framer new location convenient costwold', 'dr framer new location convenient costwold area', 'framer', 'framer new', 'framer new location', 'framer new location convenient', 'framer new location convenient costwold', 'framer new location convenient costwold area', 'new', 'new location', 'new location convenient', 'new location convenient costwold', 'new location convenient costwold area', 'location', 'location convenient', 'location convenient costwold', 'location convenient costwold area', 'convenient', 'convenient costwold', 'convenient costwold area', 'costwold', 'costwold area', 'area']",0,0,1,0.08333333333333334
92314,Horrible first visit with my son.,1,atrocious visit son,"['atrocious', 'atrocious visit', 'atrocious visit son', 'visit', 'visit son', 'son']",0,0,1,0.16666666666666666
146233,She did not make me feel embarrassed and was able to calm any anxiety I had over the procedure.The long version is,0,not feel embarrass able calm anxiety procedurethe long version,"['not', 'not feel', 'not feel embarrass', 'not feel embarrass able', 'not feel embarrass able calm', 'not feel embarrass able calm anxiety', 'not feel embarrass able calm anxiety procedurethe', 'not feel embarrass able calm anxiety procedurethe long', 'not feel embarrass able calm anxiety procedurethe long version', 'feel', 'feel embarrass', 'feel embarrass able', 'feel embarrass able calm', 'feel embarrass able calm anxiety', 'feel embarrass able calm anxiety procedurethe', 'feel embarrass able calm anxiety procedurethe long', 'feel embarrass able calm anxiety procedurethe long version', 'embarrass', 'embarrass able', 'embarrass able calm', 'embarrass able calm anxiety', 'embarrass able calm anxiety procedurethe', 'embarrass able calm anxiety procedurethe long', 'embarrass able calm anxiety procedurethe long version', 'able', 'able calm', 'able calm anxiety', 'able calm anxiety procedurethe', 'able calm anxiety procedurethe long', 'able calm anxiety procedurethe long version', 'calm', 'calm anxiety', 'calm anxiety procedurethe', 'calm anxiety procedurethe long', 'calm anxiety procedurethe long version', 'anxiety', 'anxiety procedurethe', 'anxiety procedurethe long', 'anxiety procedurethe long version', 'procedurethe', 'procedurethe long', 'procedurethe long version', 'long', 'long version', 'version']",1,0,0,0.07246376811594205
104509,Nice to go somewhere and be remembered after the first visit.,0,nice remember visit,"['nice', 'nice remember', 'nice remember visit', 'remember', 'remember visit', 'visit']",0,0,1,0.16666666666666666
110405,He is calming and confident which made me feel comfortable having him operate on me.,0,calm confident feel comfortable have operate,"['calm', 'calm confident', 'calm confident feel', 'calm confident feel comfortable', 'calm confident feel comfortable have', 'calm confident feel comfortable have operate', 'confident', 'confident feel', 'confident feel comfortable', 'confident feel comfortable have', 'confident feel comfortable have operate', 'feel', 'feel comfortable', 'feel comfortable have', 'feel comfortable have operate', 'comfortable', 'comfortable have', 'comfortable have operate', 'have', 'have operate', 'operate']",1,0,0,0.1111111111111111
75945,with each visit Dr. Morris explained the procedure in depth and never hesitated to make sure I understood.,0,visit explain procedure depth hesitate sure understand,"['visit', 'visit explain', 'visit explain procedure', 'visit explain procedure depth', 'visit explain procedure depth hesitate', 'visit explain procedure depth hesitate sure', 'visit explain procedure depth hesitate sure understand', 'explain', 'explain procedure', 'explain procedure depth', 'explain procedure depth hesitate', 'explain procedure depth hesitate sure', 'explain procedure depth hesitate sure understand', 'procedure', 'procedure depth', 'procedure depth hesitate', 'procedure depth hesitate sure', 'procedure depth hesitate sure understand', 'depth', 'depth hesitate', 'depth hesitate sure', 'depth hesitate sure understand', 'hesitate', 'hesitate sure', 'hesitate sure understand', 'sure', 'sure understand', 'understand']",0,0,1,0.09615384615384617
96419,Thanks for wasting my time and money on an office visit that accomplished nothing.,1,thanks waste time money office visit accomplished,"['thanks', 'thanks waste', 'thanks waste time', 'thanks waste time money', 'thanks waste time money office', 'thanks waste time money office visit', 'thanks waste time money office visit accomplished', 'waste', 'waste time', 'waste time money', 'waste time money office', 'waste time money office visit', 'waste time money office visit accomplished', 'time', 'time money', 'time money office', 'time money office visit', 'time money office visit accomplished', 'money', 'money office', 'money office visit', 'money office visit accomplished', 'office', 'office visit', 'office visit accomplished', 'visit', 'visit accomplished', 'accomplished']",0,0,1,0.09615384615384617
150724,"His work, credentials, along with accolades already speak for itself but once you actually visit him and see the results..",0,work certificate award speak actually visit result,"['work', 'work certificate', 'work certificate award', 'work certificate award speak', 'work certificate award speak actually', 'work certificate award speak actually visit', 'work certificate award speak actually visit result', 'certificate', 'certificate award', 'certificate award speak', 'certificate award speak actually', 'certificate award speak actually visit', 'certificate award speak actually visit result', 'award', 'award speak', 'award speak actually', 'award speak actually visit', 'award speak actually visit result', 'speak', 'speak actually', 'speak actually visit', 'speak actually visit result', 'actually', 'actually visit', 'actually visit result', 'visit', 'visit result', 'result']",0,0,1,0.09615384615384617
67922,The staff are always very friendly and always able to accommodate us with appointments for sick visits.,0,staff friendly able accommodate appointment sick visit,"['staff', 'staff friendly', 'staff friendly able', 'staff friendly able accommodate', 'staff friendly able accommodate appointment', 'staff friendly able accommodate appointment sick', 'staff friendly able accommodate appointment sick visit', 'friendly', 'friendly able', 'friendly able accommodate', 'friendly able accommodate appointment', 'friendly able accommodate appointment sick', 'friendly able accommodate appointment sick visit', 'able', 'able accommodate', 'able accommodate appointment', 'able accommodate appointment sick', 'able accommodate appointment sick visit', 'accommodate', 'accommodate appointment', 'accommodate appointment sick', 'accommodate appointment sick visit', 'appointment', 'appointment sick', 'appointment sick visit', 'sick', 'sick visit', 'visit']",0,0,1,0.09615384615384617
139832,"Very nice and patient people,listened and answered all my questions.Today was my second visit and the hygienist and dentist were awesome!",0,nice patient peoplelistened answer questionstoday visit hygienic dentist amazing,"['nice', 'nice patient', 'nice patient peoplelistened', 'nice patient peoplelistened answer', 'nice patient peoplelistened answer questionstoday', 'nice patient peoplelistened answer questionstoday visit', 'nice patient peoplelistened answer questionstoday visit hygienic', 'nice patient peoplelistened answer questionstoday visit hygienic dentist', 'nice patient peoplelistened answer questionstoday visit hygienic dentist amazing', 'patient', 'patient peoplelistened', 'patient peoplelistened answer', 'patient peoplelistened answer questionstoday', 'patient peoplelistened answer questionstoday visit', 'patient peoplelistened answer questionstoday visit hygienic', 'patient peoplelistened answer questionstoday visit hygienic dentist', 'patient peoplelistened answer questionstoday visit hygienic dentist amazing', 'peoplelistened', 'peoplelistened answer', 'peoplelistened answer questionstoday', 'peoplelistened answer questionstoday visit', 'peoplelistened answer questionstoday visit hygienic', 'peoplelistened answer questionstoday visit hygienic dentist', 'peoplelistened answer questionstoday visit hygienic dentist amazing', 'answer', 'answer questionstoday', 'answer questionstoday visit', 'answer questionstoday visit hygienic', 'answer questionstoday visit hygienic dentist', 'answer questionstoday visit hygienic dentist amazing', 'questionstoday', 'questionstoday visit', 'questionstoday visit hygienic', 'questionstoday visit hygienic dentist', 'questionstoday visit hygienic dentist amazing', 'visit', 'visit hygienic', 'visit hygienic dentist', 'visit hygienic dentist amazing', 'hygienic', 'hygienic dentist', 'hygienic dentist amazing', 'dentist', 'dentist amazing', 'amazing']",0,0,1,0.07246376811594205
110044,When my first meeting finally happened Dr. Levy talked in a calming manner even though i was anxious from the waiting,0,meet finally happen talk calm manner anxious wait,"['meet', 'meet finally', 'meet finally happen', 'meet finally happen talk', 'meet finally happen talk calm', 'meet finally happen talk calm manner', 'meet finally happen talk calm manner anxious', 'meet finally happen talk calm manner anxious wait', 'finally', 'finally happen', 'finally happen talk', 'finally happen talk calm', 'finally happen talk calm manner', 'finally happen talk calm manner anxious', 'finally happen talk calm manner anxious wait', 'happen', 'happen talk', 'happen talk calm', 'happen talk calm manner', 'happen talk calm manner anxious', 'happen talk calm manner anxious wait', 'talk', 'talk calm', 'talk calm manner', 'talk calm manner anxious', 'talk calm manner anxious wait', 'calm', 'calm manner', 'calm manner anxious', 'calm manner anxious wait', 'manner', 'manner anxious', 'manner anxious wait', 'anxious', 'anxious wait', 'wait']",1,0,0,0.08333333333333334
