commentId,comment,classification,comment_processed,word_phrase_list,harm,harm know,know,similarity_score,regression_weight
150083,This man and his staff need.to be stopped from harming others.,1,man staff need stop harm,"['man', 'man staff', 'man staff need', 'man staff need stop', 'man staff need stop harm', 'staff', 'staff need', 'staff need stop', 'staff need stop harm', 'need', 'need stop', 'need stop harm', 'stop', 'stop harm', 'harm']",1,0,0,0.1111111111111111,0.0
160673,He patiently answered all of my questions and some I didn?t know I had.,0,patiently answer question know,"['patiently', 'patiently answer', 'patiently answer question', 'patiently answer question know', 'answer', 'answer question', 'answer question know', 'question', 'question know', 'know']",0,0,1,0.1538461538461538,0.0
146925,"Your appointment will never be ""on time "" and they never know who you are or why you are there.",1,appointment time know,"['appointment', 'appointment time', 'appointment time know', 'time', 'time know', 'know']",0,0,1,0.2222222222222222,0.0
57685,Know about the patient better.,1,know patient good,"['know', 'know patient', 'know patient good', 'patient', 'patient good', 'good']",0,0,1,0.2222222222222222,0.0
128347,She got me checked in quickly and let me know what was to come.,0,get check quickly let know come,"['get', 'get check', 'get check quickly', 'get check quickly let', 'get check quickly let know', 'get check quickly let know come', 'check', 'check quickly', 'check quickly let', 'check quickly let know', 'check quickly let know come', 'quickly', 'quickly let', 'quickly let know', 'quickly let know come', 'let', 'let know', 'let know come', 'know', 'know come', 'come']",0,0,1,0.0833333333333333,0.0
178781,"and I went back to the office to let them know why I was not happy with my results, not",1,go office let know not happy result not,"['go', 'go office', 'go office let', 'go office let know', 'go office let know not', 'go office let know not happy', 'go office let know not happy result', 'go office let know not happy result not', 'office', 'office let', 'office let know', 'office let know not', 'office let know not happy', 'office let know not happy result', 'office let know not happy result not', 'let', 'let know', 'let know not', 'let know not happy', 'let know not happy result', 'let know not happy result not', 'know', 'know not', 'know not happy', 'know not happy result', 'know not happy result not', 'not', 'not happy', 'not happy result', 'not happy result not', 'happy', 'happy result', 'happy result not', 'result', 'result not', 'not']",0,0,1,0.0512820512820512,0.0
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,1,0.0416666666666666,0.0
169235,He lets you know what your insurance pays and what you owe right upfront so there are never any surprises.,0,let know insurance pay owe right surprise,"['let', 'let know', 'let know insurance', 'let know insurance pay', 'let know insurance pay owe', 'let know insurance pay owe right', 'let know insurance pay owe right surprise', 'know', 'know insurance', 'know insurance pay', 'know insurance pay owe', 'know insurance pay owe right', 'know insurance pay owe right surprise', 'insurance', 'insurance pay', 'insurance pay owe', 'insurance pay owe right', 'insurance pay owe right surprise', 'pay', 'pay owe', 'pay owe right', 'pay owe right surprise', 'owe', 'owe right', 'owe right surprise', 'right', 'right surprise', 'surprise']",0,0,1,0.064516129032258,0.0
104498,He does not follow basic guidelines that a doctor should not do harm.,1,not follow basic guideline doctor not harm,"['not', 'not follow', 'not follow basic', 'not follow basic guideline', 'not follow basic guideline doctor', 'not follow basic guideline doctor not', 'not follow basic guideline doctor not harm', 'follow', 'follow basic', 'follow basic guideline', 'follow basic guideline doctor', 'follow basic guideline doctor not', 'follow basic guideline doctor not harm', 'basic', 'basic guideline', 'basic guideline doctor', 'basic guideline doctor not', 'basic guideline doctor not harm', 'guideline', 'guideline doctor', 'guideline doctor not', 'guideline doctor not harm', 'doctor', 'doctor not', 'doctor not harm', 'not', 'not harm', 'harm']",1,0,0,0.064516129032258,0.0
57691,I don't know if it was not in her line of work. ,1,know not line work,"['know', 'know not', 'know not line', 'know not line work', 'not', 'not line', 'not line work', 'line', 'line work', 'work']",0,0,1,0.1538461538461538,0.0
127526,so expectations are high when she sees another phyisician because she knows the care she provides for patients)..she is over the moon with him!,0,expectation high see doctor know care provide patientsshe moon,"['expectation', 'expectation high', 'expectation high see', 'expectation high see doctor', 'expectation high see doctor know', 'expectation high see doctor know care', 'expectation high see doctor know care provide', 'expectation high see doctor know care provide patientsshe', 'expectation high see doctor know care provide patientsshe moon', 'high', 'high see', 'high see doctor', 'high see doctor know', 'high see doctor know care', 'high see doctor know care provide', 'high see doctor know care provide patientsshe', 'high see doctor know care provide patientsshe moon', 'see', 'see doctor', 'see doctor know', 'see doctor know care', 'see doctor know care provide', 'see doctor know care provide patientsshe', 'see doctor know care provide patientsshe moon', 'doctor', 'doctor know', 'doctor know care', 'doctor know care provide', 'doctor know care provide patientsshe', 'doctor know care provide patientsshe moon', 'know', 'know care', 'know care provide', 'know care provide patientsshe', 'know care provide patientsshe moon', 'care', 'care provide', 'care provide patientsshe', 'care provide patientsshe moon', 'provide', 'provide patientsshe', 'provide patientsshe moon', 'patientsshe', 'patientsshe moon', 'moon']",0,0,1,0.0416666666666666,0.0
