commentId,comment,classification,comment_processed,word_phrase_list,ignore,word,word try,try,try sell,sell,similarity_score
90478,I urge you to try I think you will see a difference.,0,urge try think difference,"['urge', 'urge try', 'urge try think', 'urge try think difference', 'try', 'try think', 'try think difference', 'think', 'think difference', 'difference']",0,0,0,1,0,0,0.1
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,0,1,0,0,0.1
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",1,0,0,0,0,0,0.1
132862,"First he accused my husband of overdosing me, then accused him of withholding my meds to sell them on the street.",1,accuse husband overcome accuse withholding bed sell street,"['accuse', 'accuse husband', 'accuse husband overcome', 'accuse husband overcome accuse', 'accuse husband overcome accuse withholding', 'accuse husband overcome accuse withholding bed', 'accuse husband overcome accuse withholding bed sell', 'accuse husband overcome accuse withholding bed sell street', 'husband', 'husband overcome', 'husband overcome accuse', 'husband overcome accuse withholding', 'husband overcome accuse withholding bed', 'husband overcome accuse withholding bed sell', 'husband overcome accuse withholding bed sell street', 'overcome', 'overcome accuse', 'overcome accuse withholding', 'overcome accuse withholding bed', 'overcome accuse withholding bed sell', 'overcome accuse withholding bed sell street', 'accuse', 'accuse withholding', 'accuse withholding bed', 'accuse withholding bed sell', 'accuse withholding bed sell street', 'withholding', 'withholding bed', 'withholding bed sell', 'withholding bed sell street', 'bed', 'bed sell', 'bed sell street', 'sell', 'sell street', 'street']",0,0,0,0,0,1,0.1
88300,"and sometimes hard to get an appointment sooner than later, although they will try their best to meet your needs.)",0,hard appointment sooner late try good meet need,"['hard', 'hard appointment', 'hard appointment sooner', 'hard appointment sooner late', 'hard appointment sooner late try', 'hard appointment sooner late try good', 'hard appointment sooner late try good meet', 'hard appointment sooner late try good meet need', 'appointment', 'appointment sooner', 'appointment sooner late', 'appointment sooner late try', 'appointment sooner late try good', 'appointment sooner late try good meet', 'appointment sooner late try good meet need', 'sooner', 'sooner late', 'sooner late try', 'sooner late try good', 'sooner late try good meet', 'sooner late try good meet need', 'late', 'late try', 'late try good', 'late try good meet', 'late try good meet need', 'try', 'try good', 'try good meet', 'try good meet need', 'good', 'good meet', 'good meet need', 'meet', 'meet need', 'need']",0,0,0,1,0,0,0.1
129193,"Not once did anyone apologize for the inconvenience, or their incompetence and broken billing system, or try to fix the issue.",1,not apologize inconvenience incompetence break fill system try fix issue,"['not', 'not apologize', 'not apologize inconvenience', 'not apologize inconvenience incompetence', 'not apologize inconvenience incompetence break', 'not apologize inconvenience incompetence break fill', 'not apologize inconvenience incompetence break fill system', 'not apologize inconvenience incompetence break fill system try', 'not apologize inconvenience incompetence break fill system try fix', 'not apologize inconvenience incompetence break fill system try fix issue', 'apologize', 'apologize inconvenience', 'apologize inconvenience incompetence', 'apologize inconvenience incompetence break', 'apologize inconvenience incompetence break fill', 'apologize inconvenience incompetence break fill system', 'apologize inconvenience incompetence break fill system try', 'apologize inconvenience incompetence break fill system try fix', 'apologize inconvenience incompetence break fill system try fix issue', 'inconvenience', 'inconvenience incompetence', 'inconvenience incompetence break', 'inconvenience incompetence break fill', 'inconvenience incompetence break fill system', 'inconvenience incompetence break fill system try', 'inconvenience incompetence break fill system try fix', 'inconvenience incompetence break fill system try fix issue', 'incompetence', 'incompetence break', 'incompetence break fill', 'incompetence break fill system', 'incompetence break fill system try', 'incompetence break fill system try fix', 'incompetence break fill system try fix issue', 'break', 'break fill', 'break fill system', 'break fill system try', 'break fill system try fix', 'break fill system try fix issue', 'fill', 'fill system', 'fill system try', 'fill system try fix', 'fill system try fix issue', 'system', 'system try', 'system try fix', 'system try fix issue', 'try', 'try fix', 'try fix issue', 'fix', 'fix issue', 'issue']",0,0,0,1,0,0,0.1
147840,"This man has a problem with listening to what the patient wants, if you try to say something he rudely",1,man problem listen patient want try impolitely,"['man', 'man problem', 'man problem listen', 'man problem listen patient', 'man problem listen patient want', 'man problem listen patient want try', 'man problem listen patient want try impolitely', 'problem', 'problem listen', 'problem listen patient', 'problem listen patient want', 'problem listen patient want try', 'problem listen patient want try impolitely', 'listen', 'listen patient', 'listen patient want', 'listen patient want try', 'listen patient want try impolitely', 'patient', 'patient want', 'patient want try', 'patient want try impolitely', 'want', 'want try', 'want try impolitely', 'try', 'try impolitely', 'impolitely']",0,0,0,1,0,0,0.1
89773,and he tries his hardest to help figure out what is wrong with you.,0,try hard help figure wrong,"['try', 'try hard', 'try hard help', 'try hard help figure', 'try hard help figure wrong', 'hard', 'hard help', 'hard help figure', 'hard help figure wrong', 'help', 'help figure', 'help figure wrong', 'figure', 'figure wrong', 'wrong']",0,0,0,1,0,0,0.1
173878,"Tried to tell me and other patients in the waiting room, (which has the hardest chairs imaginable",1,try tell patient wait room hard chair conceivable,"['try', 'try tell', 'try tell patient', 'try tell patient wait', 'try tell patient wait room', 'try tell patient wait room hard', 'try tell patient wait room hard chair', 'try tell patient wait room hard chair conceivable', 'tell', 'tell patient', 'tell patient wait', 'tell patient wait room', 'tell patient wait room hard', 'tell patient wait room hard chair', 'tell patient wait room hard chair conceivable', 'patient', 'patient wait', 'patient wait room', 'patient wait room hard', 'patient wait room hard chair', 'patient wait room hard chair conceivable', 'wait', 'wait room', 'wait room hard', 'wait room hard chair', 'wait room hard chair conceivable', 'room', 'room hard', 'room hard chair', 'room hard chair conceivable', 'hard', 'hard chair', 'hard chair conceivable', 'chair', 'chair conceivable', 'conceivable']",0,0,0,1,0,0,0.1
177167,"Keep up the encouragement, and we will try to expand our capacity and outreach.3.",0,encouragement try expand capacity outreach,"['encouragement', 'encouragement try', 'encouragement try expand', 'encouragement try expand capacity', 'encouragement try expand capacity outreach', 'try', 'try expand', 'try expand capacity', 'try expand capacity outreach', 'expand', 'expand capacity', 'expand capacity outreach', 'capacity', 'capacity outreach', 'outreach']",0,0,0,1,0,0,0.1
