commentId,comment,classification,comment_processed,word_phrase_list,reception,reception incredibly,reception incredibly rude,incredibly,incredibly rude,rude,similarity_score
128270,Office staff was rude. ?The office is only open three days a week,1,office staff rude office open week,"['office', 'office staff', 'office staff rude', 'office staff rude office', 'office staff rude office open', 'office staff rude office open week', 'staff', 'staff rude', 'staff rude office', 'staff rude office open', 'staff rude office open week', 'rude', 'rude office', 'rude office open', 'rude office open week', 'office', 'office open', 'office open week', 'open', 'open week', 'week']",0,0,0,0,0,1,0.07407407407407407
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic tell', 'clinic rude busy clinic tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic tell', 'rude busy clinic tell busy', 'busy', 'busy clinic', 'busy clinic tell', 'busy clinic tell busy', 'clinic', 'clinic tell', 'clinic tell busy', 'tell', 'tell busy', 'busy']",0,0,0,0,0,1,0.07407407407407407
140581,"and the receptionist needs major help as there was no smile, not warm, just handed me the same paperwork to",1,reception need major help no smile not warm hand paperwork,"['reception', 'reception need', 'reception need major', 'reception need major help', 'reception need major help no', 'reception need major help no smile', 'reception need major help no smile not', 'reception need major help no smile not warm', 'reception need major help no smile not warm hand', 'reception need major help no smile not warm hand paperwork', 'need', 'need major', 'need major help', 'need major help no', 'need major help no smile', 'need major help no smile not', 'need major help no smile not warm', 'need major help no smile not warm hand', 'need major help no smile not warm hand paperwork', 'major', 'major help', 'major help no', 'major help no smile', 'major help no smile not', 'major help no smile not warm', 'major help no smile not warm hand', 'major help no smile not warm hand paperwork', 'help', 'help no', 'help no smile', 'help no smile not', 'help no smile not warm', 'help no smile not warm hand', 'help no smile not warm hand paperwork', 'no', 'no smile', 'no smile not', 'no smile not warm', 'no smile not warm hand', 'no smile not warm hand paperwork', 'smile', 'smile not', 'smile not warm', 'smile not warm hand', 'smile not warm hand paperwork', 'not', 'not warm', 'not warm hand', 'not warm hand paperwork', 'warm', 'warm hand', 'warm hand paperwork', 'hand', 'hand paperwork', 'paperwork']",1,0,0,0,0,0,0.03278688524590164
166697,"This man was the most condescending, rude, unhelpful medical professional I've ever had to work with.",1,man condescend rude helpful medical professional work,"['man', 'man condescend', 'man condescend rude', 'man condescend rude helpful', 'man condescend rude helpful medical', 'man condescend rude helpful medical professional', 'man condescend rude helpful medical professional work', 'condescend', 'condescend rude', 'condescend rude helpful', 'condescend rude helpful medical', 'condescend rude helpful medical professional', 'condescend rude helpful medical professional work', 'rude', 'rude helpful', 'rude helpful medical', 'rude helpful medical professional', 'rude helpful medical professional work', 'helpful', 'helpful medical', 'helpful medical professional', 'helpful medical professional work', 'medical', 'medical professional', 'medical professional work', 'professional', 'professional work', 'work']",0,0,0,0,0,1,0.058823529411764705
114342,They are incredibly expensive compared to other places around.,1,incredibly expensive compare place,"['incredibly', 'incredibly expensive', 'incredibly expensive compare', 'incredibly expensive compare place', 'expensive', 'expensive compare', 'expensive compare place', 'compare', 'compare place', 'place']",0,0,0,1,0,0,0.125
108087,Reception is incredibly rude and unhelpful.,1,reception incredibly rude helpful,"['reception', 'reception incredibly', 'reception incredibly rude', 'reception incredibly rude helpful', 'incredibly', 'incredibly rude', 'incredibly rude helpful', 'rude', 'rude helpful', 'helpful']",1,1,1,1,1,1,0.75
114662,"Front end staff is unprofessional, ignorant and rude.",1,end staff professional ignorant rude,"['end', 'end staff', 'end staff professional', 'end staff professional ignorant', 'end staff professional ignorant rude', 'staff', 'staff professional', 'staff professional ignorant', 'staff professional ignorant rude', 'professional', 'professional ignorant', 'professional ignorant rude', 'ignorant', 'ignorant rude', 'rude']",0,0,0,0,0,1,0.09523809523809523
127362,The staff are so rude and the wait time is not 16-30 minutes.,1,staff rude wait time not minute,"['staff', 'staff rude', 'staff rude wait', 'staff rude wait time', 'staff rude wait time not', 'staff rude wait time not minute', 'rude', 'rude wait', 'rude wait time', 'rude wait time not', 'rude wait time not minute', 'wait', 'wait time', 'wait time not', 'wait time not minute', 'time', 'time not', 'time not minute', 'not', 'not minute', 'minute']",0,0,0,0,0,1,0.07407407407407407
130895,"I'm a horrible patient, and yet, he was incredibly patient with me and all my annoying questions.",0,atrocious patient incredibly patient annoying question,"['atrocious', 'atrocious patient', 'atrocious patient incredibly', 'atrocious patient incredibly patient', 'atrocious patient incredibly patient annoying', 'atrocious patient incredibly patient annoying question', 'patient', 'patient incredibly', 'patient incredibly patient', 'patient incredibly patient annoying', 'patient incredibly patient annoying question', 'incredibly', 'incredibly patient', 'incredibly patient annoying', 'incredibly patient annoying question', 'patient', 'patient annoying', 'patient annoying question', 'annoying', 'annoying question', 'question']",0,0,0,1,0,0,0.07407407407407407
188600,"And when he doesn't like you, he pushes you to his practitioner and she is so rude.",1,like push practitioner rude,"['like', 'like push', 'like push practitioner', 'like push practitioner rude', 'push', 'push practitioner', 'push practitioner rude', 'practitioner', 'practitioner rude', 'rude']",0,0,0,0,0,1,0.125
152907,The ladies at the front desk were particularly rude but so was the patient care coordinator.,1,lady desk particularly rude patient care coordinate,"['lady', 'lady desk', 'lady desk particularly', 'lady desk particularly rude', 'lady desk particularly rude patient', 'lady desk particularly rude patient care', 'lady desk particularly rude patient care coordinate', 'desk', 'desk particularly', 'desk particularly rude', 'desk particularly rude patient', 'desk particularly rude patient care', 'desk particularly rude patient care coordinate', 'particularly', 'particularly rude', 'particularly rude patient', 'particularly rude patient care', 'particularly rude patient care coordinate', 'rude', 'rude patient', 'rude patient care', 'rude patient care coordinate', 'patient', 'patient care', 'patient care coordinate', 'care', 'care coordinate', 'coordinate']",0,0,0,0,0,1,0.058823529411764705
184118,I'm not happy with this place not the dr. The staff is very rude and have poor bed side manner.,1,not happy place not staff rude poor bed manner,"['not', 'not happy', 'not happy place', 'not happy place not', 'not happy place not staff', 'not happy place not staff rude', 'not happy place not staff rude poor', 'not happy place not staff rude poor bed', 'not happy place not staff rude poor bed manner', 'happy', 'happy place', 'happy place not', 'happy place not staff', 'happy place not staff rude', 'happy place not staff rude poor', 'happy place not staff rude poor bed', 'happy place not staff rude poor bed manner', 'place', 'place not', 'place not staff', 'place not staff rude', 'place not staff rude poor', 'place not staff rude poor bed', 'place not staff rude poor bed manner', 'not', 'not staff', 'not staff rude', 'not staff rude poor', 'not staff rude poor bed', 'not staff rude poor bed manner', 'staff', 'staff rude', 'staff rude poor', 'staff rude poor bed', 'staff rude poor bed manner', 'rude', 'rude poor', 'rude poor bed', 'rude poor bed manner', 'poor', 'poor bed', 'poor bed manner', 'bed', 'bed manner', 'manner']",0,0,0,0,0,1,0.0392156862745098
