commentId,comment,classification,comment_processed,word_phrase_list,interest,interest personal,personal,personal life,life,similarity_score
122412,When will I have my life back!!,1,life,['life'],0,0,0,0,1,0.2857142857142857
73118,our life is just where it needs to be.,0,life need,"['life', 'life need', 'need']",0,0,0,0,1,0.2222222222222222
141000,"One of the best dr appointments I have been to thus far, will definitely make her a Dr for Life!!",0,good appointment far decidedly life,"['good', 'good appointment', 'good appointment far', 'good appointment far decidedly', 'good appointment far decidedly life', 'appointment', 'appointment far', 'appointment far decidedly', 'appointment far decidedly life', 'far', 'far decidedly', 'far decidedly life', 'decidedly', 'decidedly life', 'life']",0,0,0,0,1,0.09523809523809523
183848,"I don't even need to use the nasal spray, it's been so life changing.",0,need use nasal spray life change,"['need', 'need use', 'need use nasal', 'need use nasal spray', 'need use nasal spray life', 'need use nasal spray life change', 'use', 'use nasal', 'use nasal spray', 'use nasal spray life', 'use nasal spray life change', 'nasal', 'nasal spray', 'nasal spray life', 'nasal spray life change', 'spray', 'spray life', 'spray life change', 'life', 'life change', 'change']",0,0,0,0,1,0.07407407407407407
99126,For my whole life I have been very nervous about seeing a dentist.I had not been to the dentist for approx. 6 years.,1,life nervous see dentist not dentist,"['life', 'life nervous', 'life nervous see', 'life nervous see dentist', 'life nervous see dentist not', 'life nervous see dentist not dentist', 'nervous', 'nervous see', 'nervous see dentist', 'nervous see dentist not', 'nervous see dentist not dentist', 'see', 'see dentist', 'see dentist not', 'see dentist not dentist', 'dentist', 'dentist not', 'dentist not dentist', 'not', 'not dentist', 'dentist']",0,0,0,0,1,0.07407407407407407
96278,but only seemed interested in doing surgery.,1,interest surgery,"['interest', 'interest surgery', 'surgery']",1,0,0,0,0,0.2222222222222222
98073,"It's bothered me my entire life: during breast feeding, changing at the gym or even intimate moments.",1,gather entire life breast feed change grm intimate moment,"['gather', 'gather entire', 'gather entire life', 'gather entire life breast', 'gather entire life breast feed', 'gather entire life breast feed change', 'gather entire life breast feed change grm', 'gather entire life breast feed change grm intimate', 'gather entire life breast feed change grm intimate moment', 'entire', 'entire life', 'entire life breast', 'entire life breast feed', 'entire life breast feed change', 'entire life breast feed change grm', 'entire life breast feed change grm intimate', 'entire life breast feed change grm intimate moment', 'life', 'life breast', 'life breast feed', 'life breast feed change', 'life breast feed change grm', 'life breast feed change grm intimate', 'life breast feed change grm intimate moment', 'breast', 'breast feed', 'breast feed change', 'breast feed change grm', 'breast feed change grm intimate', 'breast feed change grm intimate moment', 'feed', 'feed change', 'feed change grm', 'feed change grm intimate', 'feed change grm intimate moment', 'change', 'change grm', 'change grm intimate', 'change grm intimate moment', 'grm', 'grm intimate', 'grm intimate moment', 'intimate', 'intimate moment', 'moment']",0,0,0,0,1,0.0392156862745098
179200,"for Dateline, and listened to country music (my personal favorite).",0,vaseline listen country music personal favorite,"['vaseline', 'vaseline listen', 'vaseline listen country', 'vaseline listen country music', 'vaseline listen country music personal', 'vaseline listen country music personal favorite', 'listen', 'listen country', 'listen country music', 'listen country music personal', 'listen country music personal favorite', 'country', 'country music', 'country music personal', 'country music personal favorite', 'music', 'music personal', 'music personal favorite', 'personal', 'personal favorite', 'favorite']",0,0,1,0,0,0.07407407407407407
100515,"Donna is a wonderful PA, she shows lots of interest and concerns for her patients.",0,fantastic pa show lot interest concern patient,"['fantastic', 'fantastic pa', 'fantastic pa show', 'fantastic pa show lot', 'fantastic pa show lot interest', 'fantastic pa show lot interest concern', 'fantastic pa show lot interest concern patient', 'pa', 'pa show', 'pa show lot', 'pa show lot interest', 'pa show lot interest concern', 'pa show lot interest concern patient', 'show', 'show lot', 'show lot interest', 'show lot interest concern', 'show lot interest concern patient', 'lot', 'lot interest', 'lot interest concern', 'lot interest concern patient', 'interest', 'interest concern', 'interest concern patient', 'concern', 'concern patient', 'patient']",1,0,0,0,0,0.058823529411764705
99858,She cares genuinely about my skin/quality of life and I always feel like she makes the best recommendations,0,care genuinely skinquality life feel like make good recommendation,"['care', 'care genuinely', 'care genuinely skinquality', 'care genuinely skinquality life', 'care genuinely skinquality life feel', 'care genuinely skinquality life feel like', 'care genuinely skinquality life feel like make', 'care genuinely skinquality life feel like make good', 'care genuinely skinquality life feel like make good recommendation', 'genuinely', 'genuinely skinquality', 'genuinely skinquality life', 'genuinely skinquality life feel', 'genuinely skinquality life feel like', 'genuinely skinquality life feel like make', 'genuinely skinquality life feel like make good', 'genuinely skinquality life feel like make good recommendation', 'skinquality', 'skinquality life', 'skinquality life feel', 'skinquality life feel like', 'skinquality life feel like make', 'skinquality life feel like make good', 'skinquality life feel like make good recommendation', 'life', 'life feel', 'life feel like', 'life feel like make', 'life feel like make good', 'life feel like make good recommendation', 'feel', 'feel like', 'feel like make', 'feel like make good', 'feel like make good recommendation', 'like', 'like make', 'like make good', 'like make good recommendation', 'make', 'make good', 'make good recommendation', 'good', 'good recommendation', 'recommendation']",0,0,0,0,1,0.0392156862745098
