commentId,comment,classification,comment_processed,word_phrase_list,lot,lot test,lot test tell,test,test tell,tell,tell precisely,tell precisely wrong,precisely,precisely wrong,wrong,wife,similarity_score
129354,"He NEVER told me he was using the SAME implants,",1,tell plant,"['tell', 'tell plant', 'plant']",0,0,0,0,0,1,0,0,0,0,0,0,0.0574712643678161
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,0,0,0,1,0,0,0,0,0,0,0.041666666666666664
115813,"When I finally did decide, he made the whole thing easy by explaining exactly what would happen and what would be going on.",0,finally decide thing easy explain precisely happen go,"['finally', 'finally decide', 'finally decide thing', 'finally decide thing easy', 'finally decide thing easy explain', 'finally decide thing easy explain precisely', 'finally decide thing easy explain precisely happen', 'finally decide thing easy explain precisely happen go', 'decide', 'decide thing', 'decide thing easy', 'decide thing easy explain', 'decide thing easy explain precisely', 'decide thing easy explain precisely happen', 'decide thing easy explain precisely happen go', 'thing', 'thing easy', 'thing easy explain', 'thing easy explain precisely', 'thing easy explain precisely happen', 'thing easy explain precisely happen go', 'easy', 'easy explain', 'easy explain precisely', 'easy explain precisely happen', 'easy explain precisely happen go', 'explain', 'explain precisely', 'explain precisely happen', 'explain precisely happen go', 'precisely', 'precisely happen', 'precisely happen go', 'happen', 'happen go', 'go']",0,0,0,0,0,0,0,0,1,0,0,0,0.041666666666666664
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",1,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616
155852,"that's what Doctor Marotta should have told me: Rafael, I can't, it's very complicated! ... that's it!",1,doctor marietta tell rachel complicate,"['doctor', 'doctor marietta', 'doctor marietta tell', 'doctor marietta tell rachel', 'doctor marietta tell rachel complicate', 'marietta', 'marietta tell', 'marietta tell rachel', 'marietta tell rachel complicate', 'tell', 'tell rachel', 'tell rachel complicate', 'rachel', 'rachel complicate', 'complicate']",0,0,0,0,0,1,0,0,0,0,0,0,0.050505050505050504
169538,"As for being a quack, he did lots and lots of prolotherapy injections without ever giving a diagnosis",1,quick lot lot prolotherapy injection give diagnosis,"['quick', 'quick lot', 'quick lot lot', 'quick lot lot prolotherapy', 'quick lot lot prolotherapy injection', 'quick lot lot prolotherapy injection give', 'quick lot lot prolotherapy injection give diagnosis', 'lot', 'lot lot', 'lot lot prolotherapy', 'lot lot prolotherapy injection', 'lot lot prolotherapy injection give', 'lot lot prolotherapy injection give diagnosis', 'lot', 'lot prolotherapy', 'lot prolotherapy injection', 'lot prolotherapy injection give', 'lot prolotherapy injection give diagnosis', 'prolotherapy', 'prolotherapy injection', 'prolotherapy injection give', 'prolotherapy injection give diagnosis', 'injection', 'injection give', 'injection give diagnosis', 'give', 'give diagnosis', 'diagnosis']",1,0,0,0,0,0,0,0,0,0,0,0,0.044642857142857144
153892,"for the IV drips, why tell everyone 'we will start you here and then move you over'.",1,four drop tell start,"['four', 'four drop', 'four drop tell', 'four drop tell start', 'drop', 'drop tell', 'drop tell start', 'tell', 'tell start', 'start']",0,0,0,0,0,1,0,0,0,0,0,0,0.05319148936170213
98232,He wrote down I had a condition without testing me,1,write condition test,"['write', 'write condition', 'write condition test', 'condition', 'condition test', 'test']",0,0,0,1,0,0,0,0,0,0,0,0,0.05555555555555555
100515,"Donna is a wonderful PA, she shows lots of interest and concerns for her patients.",0,fantastic pa show lot interest concern patient,"['fantastic', 'fantastic pa', 'fantastic pa show', 'fantastic pa show lot', 'fantastic pa show lot interest', 'fantastic pa show lot interest concern', 'fantastic pa show lot interest concern patient', 'pa', 'pa show', 'pa show lot', 'pa show lot interest', 'pa show lot interest concern', 'pa show lot interest concern patient', 'show', 'show lot', 'show lot interest', 'show lot interest concern', 'show lot interest concern patient', 'lot', 'lot interest', 'lot interest concern', 'lot interest concern patient', 'interest', 'interest concern', 'interest concern patient', 'concern', 'concern patient', 'patient']",1,0,0,0,0,0,0,0,0,0,0,0,0.044642857142857144
99000,"I told him what was bothering me, and right away, he gave me his professional opinion.",0,tell bother right away give professional opinion,"['tell', 'tell bother', 'tell bother right', 'tell bother right away', 'tell bother right away give', 'tell bother right away give professional', 'tell bother right away give professional opinion', 'bother', 'bother right', 'bother right away', 'bother right away give', 'bother right away give professional', 'bother right away give professional opinion', 'right', 'right away', 'right away give', 'right away give professional', 'right away give professional opinion', 'away', 'away give', 'away give professional', 'away give professional opinion', 'give', 'give professional', 'give professional opinion', 'professional', 'professional opinion', 'opinion']",0,0,0,0,0,1,0,0,0,0,0,0,0.044642857142857144
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,0,0,0,1,0,0,0,0,0,0,0.03875968992248063
57688,"Tell us what is going on with the visit, what is getting done.",1,tell go visit get,"['tell', 'tell go', 'tell go visit', 'tell go visit get', 'go', 'go visit', 'go visit get', 'visit', 'visit get', 'get']",0,0,0,0,0,1,0,0,0,0,0,0,0.05319148936170213
173619,He told me to get a hobby it was all in my head. . Well went for a second opinion and had crohns disease.,1,tell hobby head go opinion crown disease,"['tell', 'tell hobby', 'tell hobby head', 'tell hobby head go', 'tell hobby head go opinion', 'tell hobby head go opinion crown', 'tell hobby head go opinion crown disease', 'hobby', 'hobby head', 'hobby head go', 'hobby head go opinion', 'hobby head go opinion crown', 'hobby head go opinion crown disease', 'head', 'head go', 'head go opinion', 'head go opinion crown', 'head go opinion crown disease', 'go', 'go opinion', 'go opinion crown', 'go opinion crown disease', 'opinion', 'opinion crown', 'opinion crown disease', 'crown', 'crown disease', 'disease']",0,0,0,0,0,1,0,0,0,0,0,0,0.044642857142857144
89773,and he tries his hardest to help figure out what is wrong with you.,0,try hard help figure wrong,"['try', 'try hard', 'try hard help', 'try hard help figure', 'try hard help figure wrong', 'hard', 'hard help', 'hard help figure', 'hard help figure wrong', 'help', 'help figure', 'help figure wrong', 'figure', 'figure wrong', 'wrong']",0,0,0,0,0,0,0,0,0,0,1,0,0.050505050505050504
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic tell', 'clinic rude busy clinic tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic tell', 'rude busy clinic tell busy', 'busy', 'busy clinic', 'busy clinic tell', 'busy clinic tell busy', 'clinic', 'clinic tell', 'clinic tell busy', 'tell', 'tell busy', 'busy']",0,0,0,0,0,1,0,0,0,0,0,0,0.047619047619047616
148292,"had a bit of a rough time because I had a lot of acid reflux,",1,bit rough time lot acid reflux,"['bit', 'bit rough', 'bit rough time', 'bit rough time lot', 'bit rough time lot acid', 'bit rough time lot acid reflux', 'rough', 'rough time', 'rough time lot', 'rough time lot acid', 'rough time lot acid reflux', 'time', 'time lot', 'time lot acid', 'time lot acid reflux', 'lot', 'lot acid', 'lot acid reflux', 'acid', 'acid reflux', 'reflux']",1,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616
59248,I did appreciate that you took a lot of time with me.,0,appreciate take lot time,"['appreciate', 'appreciate take', 'appreciate take lot', 'appreciate take lot time', 'take', 'take lot', 'take lot time', 'lot', 'lot time', 'time']",1,0,0,0,0,0,0,0,0,0,0,0,0.05319148936170213
159826,When I walked in I was told she was behind 2 hours.,1,walk tell,"['walk', 'walk tell', 'tell']",0,0,0,0,0,1,0,0,0,0,0,0,0.0574712643678161
173878,"Tried to tell me and other patients in the waiting room, (which has the hardest chairs imaginable",1,try tell patient wait room hard chair conceivable,"['try', 'try tell', 'try tell patient', 'try tell patient wait', 'try tell patient wait room', 'try tell patient wait room hard', 'try tell patient wait room hard chair', 'try tell patient wait room hard chair conceivable', 'tell', 'tell patient', 'tell patient wait', 'tell patient wait room', 'tell patient wait room hard', 'tell patient wait room hard chair', 'tell patient wait room hard chair conceivable', 'patient', 'patient wait', 'patient wait room', 'patient wait room hard', 'patient wait room hard chair', 'patient wait room hard chair conceivable', 'wait', 'wait room', 'wait room hard', 'wait room hard chair', 'wait room hard chair conceivable', 'room', 'room hard', 'room hard chair', 'room hard chair conceivable', 'hard', 'hard chair', 'hard chair conceivable', 'chair', 'chair conceivable', 'conceivable']",0,0,0,0,0,1,0,0,0,0,0,0,0.041666666666666664
186142,My dentist told me I literally had a gaping hole between my mouth,1,dentist tell literally gape hole mouth,"['dentist', 'dentist tell', 'dentist tell literally', 'dentist tell literally gape', 'dentist tell literally gape hole', 'dentist tell literally gape hole mouth', 'tell', 'tell literally', 'tell literally gape', 'tell literally gape hole', 'tell literally gape hole mouth', 'literally', 'literally gape', 'literally gape hole', 'literally gape hole mouth', 'gape', 'gape hole', 'gape hole mouth', 'hole', 'hole mouth', 'mouth']",0,0,0,0,0,1,0,0,0,0,0,0,0.047619047619047616
125990,"When I told him that exacerbated it he told me I was an ""empathetic enabler"".",1,tell aggravate tell sympathetic enable,"['tell', 'tell aggravate', 'tell aggravate tell', 'tell aggravate tell sympathetic', 'tell aggravate tell sympathetic enable', 'aggravate', 'aggravate tell', 'aggravate tell sympathetic', 'aggravate tell sympathetic enable', 'tell', 'tell sympathetic', 'tell sympathetic enable', 'sympathetic', 'sympathetic enable', 'enable']",0,0,0,0,0,1,0,0,0,0,0,0,0.050505050505050504
177117,Lots of memories with your oldest staff members!!,0,lot memory old staff member,"['lot', 'lot memory', 'lot memory old', 'lot memory old staff', 'lot memory old staff member', 'memory', 'memory old', 'memory old staff', 'memory old staff member', 'old', 'old staff', 'old staff member', 'staff', 'staff member', 'member']",1,0,0,0,0,0,0,0,0,0,0,0,0.050505050505050504
143881,When I made my appointment I told the woman who set it up that I had experienced interminable wait times in the past?once in 2017,1,appointment tell woman set experience endless wait time pastonce,"['appointment', 'appointment tell', 'appointment tell woman', 'appointment tell woman set', 'appointment tell woman set experience', 'appointment tell woman set experience endless', 'appointment tell woman set experience endless wait', 'appointment tell woman set experience endless wait time', 'appointment tell woman set experience endless wait time pastonce', 'tell', 'tell woman', 'tell woman set', 'tell woman set experience', 'tell woman set experience endless', 'tell woman set experience endless wait', 'tell woman set experience endless wait time', 'tell woman set experience endless wait time pastonce', 'woman', 'woman set', 'woman set experience', 'woman set experience endless', 'woman set experience endless wait', 'woman set experience endless wait time', 'woman set experience endless wait time pastonce', 'set', 'set experience', 'set experience endless', 'set experience endless wait', 'set experience endless wait time', 'set experience endless wait time pastonce', 'experience', 'experience endless', 'experience endless wait', 'experience endless wait time', 'experience endless wait time pastonce', 'endless', 'endless wait', 'endless wait time', 'endless wait time pastonce', 'wait', 'wait time', 'wait time pastonce', 'time', 'time pastonce', 'pastonce']",0,0,0,0,0,1,0,0,0,0,0,0,0.03875968992248063
137243,Trust your eyes to the team as my wife and myself have and SEE for yourself.,0,trust eye team wife,"['trust', 'trust eye', 'trust eye team', 'trust eye team wife', 'eye', 'eye team', 'eye team wife', 'team', 'team wife', 'wife']",0,0,0,0,0,0,0,0,0,0,0,1,0.05319148936170213
160465,"AND TOLD ME SO MUCH I DIDN'T KNOW ABOUT MY INSURANCE , JUST DO FRIENDLY!!",0,tell know insurance friendly,"['tell', 'tell know', 'tell know insurance', 'tell know insurance friendly', 'know', 'know insurance', 'know insurance friendly', 'insurance', 'insurance friendly', 'friendly']",0,0,0,0,0,1,0,0,0,0,0,0,0.05319148936170213
67496,I think there is a lot of room for improvement.,1,think lot room improvement,"['think', 'think lot', 'think lot room', 'think lot room improvement', 'lot', 'lot room', 'lot room improvement', 'room', 'room improvement', 'improvement']",1,0,0,0,0,0,0,0,0,0,0,0,0.05319148936170213
151283,"and obvious AFTER my surgery .I had been a favorite patient up until I told him I was worse, not better.",1,obvious surgery favorite patient tell bad not good,"['obvious', 'obvious surgery', 'obvious surgery favorite', 'obvious surgery favorite patient', 'obvious surgery favorite patient tell', 'obvious surgery favorite patient tell bad', 'obvious surgery favorite patient tell bad not', 'obvious surgery favorite patient tell bad not good', 'surgery', 'surgery favorite', 'surgery favorite patient', 'surgery favorite patient tell', 'surgery favorite patient tell bad', 'surgery favorite patient tell bad not', 'surgery favorite patient tell bad not good', 'favorite', 'favorite patient', 'favorite patient tell', 'favorite patient tell bad', 'favorite patient tell bad not', 'favorite patient tell bad not good', 'patient', 'patient tell', 'patient tell bad', 'patient tell bad not', 'patient tell bad not good', 'tell', 'tell bad', 'tell bad not', 'tell bad not good', 'bad', 'bad not', 'bad not good', 'not', 'not good', 'good']",0,0,0,0,0,1,0,0,0,0,0,0,0.041666666666666664
88073,and a lot of nonsense.,1,lot nonsense,"['lot', 'lot nonsense', 'nonsense']",1,0,0,0,0,0,0,0,0,0,0,0,0.0574712643678161
95837,"I had medical tests that prove he was either lying about my condition, or he is just the worst doctor in America.",1,medical test prove lie condition bad doctor,"['medical', 'medical test', 'medical test prove', 'medical test prove lie', 'medical test prove lie condition', 'medical test prove lie condition bad', 'medical test prove lie condition bad doctor', 'test', 'test prove', 'test prove lie', 'test prove lie condition', 'test prove lie condition bad', 'test prove lie condition bad doctor', 'prove', 'prove lie', 'prove lie condition', 'prove lie condition bad', 'prove lie condition bad doctor', 'lie', 'lie condition', 'lie condition bad', 'lie condition bad doctor', 'condition', 'condition bad', 'condition bad doctor', 'bad', 'bad doctor', 'doctor']",0,0,0,1,0,0,0,0,0,0,0,0,0.044642857142857144
139554,and right that ought to tell you about her true colors.,1,right ought tell true color,"['right', 'right ought', 'right ought tell', 'right ought tell true', 'right ought tell true color', 'ought', 'ought tell', 'ought tell true', 'ought tell true color', 'tell', 'tell true', 'tell true color', 'true', 'true color', 'color']",0,0,0,0,0,1,0,0,0,0,0,0,0.050505050505050504
143266,They called to tell me the doctor was running late and appreciated their communication with me!,0,call tell doctor run late appreciate communication,"['call', 'call tell', 'call tell doctor', 'call tell doctor run', 'call tell doctor run late', 'call tell doctor run late appreciate', 'call tell doctor run late appreciate communication', 'tell', 'tell doctor', 'tell doctor run', 'tell doctor run late', 'tell doctor run late appreciate', 'tell doctor run late appreciate communication', 'doctor', 'doctor run', 'doctor run late', 'doctor run late appreciate', 'doctor run late appreciate communication', 'run', 'run late', 'run late appreciate', 'run late appreciate communication', 'late', 'late appreciate', 'late appreciate communication', 'appreciate', 'appreciate communication', 'communication']",0,0,0,0,0,1,0,0,0,0,0,0,0.044642857142857144
145431,"Was told how much better it would be after surgery, two surgeries later and more pain and a screwed up knee .",1,tell good surgery forgery late pain screw knee,"['tell', 'tell good', 'tell good surgery', 'tell good surgery forgery', 'tell good surgery forgery late', 'tell good surgery forgery late pain', 'tell good surgery forgery late pain screw', 'tell good surgery forgery late pain screw knee', 'good', 'good surgery', 'good surgery forgery', 'good surgery forgery late', 'good surgery forgery late pain', 'good surgery forgery late pain screw', 'good surgery forgery late pain screw knee', 'surgery', 'surgery forgery', 'surgery forgery late', 'surgery forgery late pain', 'surgery forgery late pain screw', 'surgery forgery late pain screw knee', 'forgery', 'forgery late', 'forgery late pain', 'forgery late pain screw', 'forgery late pain screw knee', 'late', 'late pain', 'late pain screw', 'late pain screw knee', 'pain', 'pain screw', 'pain screw knee', 'screw', 'screw knee', 'knee']",0,0,0,0,0,1,0,0,0,0,0,0,0.041666666666666664
