commentId,comment,classification,comment_processed,word_phrase_list,yea,alopecia,gun,gun know,know,know use,know use goose,use,use goose,goose,suggest,similarity_score
147238,My nse is still messed up but now in a different way.,1,use miss different way,"['use', 'use miss', 'use miss different', 'use miss different way', 'miss', 'miss different', 'miss different way', 'different', 'different way', 'way']",0,0,0,0,0,0,0,1,0,0,0,0.05263157894736842
160673,He patiently answered all of my questions and some I didn?t know I had.,0,patiently answer question know,"['patiently', 'patiently answer', 'patiently answer question', 'patiently answer question know', 'answer', 'answer question', 'answer question know', 'question', 'question know', 'know']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
97977,"I initially found Dr. Alexander on Google, then chose him by reading reviews on different websites.",0,initially find goose choose read review different webster,"['initially', 'initially find', 'initially find goose', 'initially find goose choose', 'initially find goose choose read', 'initially find goose choose read review', 'initially find goose choose read review different', 'initially find goose choose read review different webster', 'find', 'find goose', 'find goose choose', 'find goose choose read', 'find goose choose read review', 'find goose choose read review different', 'find goose choose read review different webster', 'goose', 'goose choose', 'goose choose read', 'goose choose read review', 'goose choose read review different', 'goose choose read review different webster', 'choose', 'choose read', 'choose read review', 'choose read review different', 'choose read review different webster', 'read', 'read review', 'read review different', 'read review different webster', 'review', 'review different', 'review different webster', 'different', 'different webster', 'webster']",0,0,0,0,0,0,0,0,0,1,0,0.03125
146925,"Your appointment will never be ""on time "" and they never know who you are or why you are there.",1,appointment time know,"['appointment', 'appointment time', 'appointment time know', 'time', 'time know', 'know']",0,0,0,0,1,0,0,0,0,0,0,0.058823529411764705
150401,The procedure he suggested was much more invasive.,1,procedure suggest invasion,"['procedure', 'procedure suggest', 'procedure suggest invasion', 'suggest', 'suggest invasion', 'invasion']",0,0,0,0,0,0,0,0,0,0,1,0.058823529411764705
183848,"I don't even need to use the nasal spray, it's been so life changing.",0,need use nasal spray life change,"['need', 'need use', 'need use nasal', 'need use nasal spray', 'need use nasal spray life', 'need use nasal spray life change', 'use', 'use nasal', 'use nasal spray', 'use nasal spray life', 'use nasal spray life change', 'nasal', 'nasal spray', 'nasal spray life', 'nasal spray life change', 'spray', 'spray life', 'spray life change', 'life', 'life change', 'change']",0,0,0,0,0,0,0,1,0,0,0,0.04081632653061224
57685,Know about the patient better.,1,know patient good,"['know', 'know patient', 'know patient good', 'patient', 'patient good', 'good']",0,0,0,0,1,0,0,0,0,0,0,0.058823529411764705
66169,He doesn't jump the gun with anything,0,jump gun,"['jump', 'jump gun', 'gun']",0,0,1,0,0,0,0,0,0,0,0,0.06451612903225806
128347,She got me checked in quickly and let me know what was to come.,0,get check quickly let know come,"['get', 'get check', 'get check quickly', 'get check quickly let', 'get check quickly let know', 'get check quickly let know come', 'check', 'check quickly', 'check quickly let', 'check quickly let know', 'check quickly let know come', 'quickly', 'quickly let', 'quickly let know', 'quickly let know come', 'let', 'let know', 'let know come', 'know', 'know come', 'come']",0,0,0,0,1,0,0,0,0,0,0,0.04081632653061224
178781,"and I went back to the office to let them know why I was not happy with my results, not",1,go office let know not happy result not,"['go', 'go office', 'go office let', 'go office let know', 'go office let know not', 'go office let know not happy', 'go office let know not happy result', 'go office let know not happy result not', 'office', 'office let', 'office let know', 'office let know not', 'office let know not happy', 'office let know not happy result', 'office let know not happy result not', 'let', 'let know', 'let know not', 'let know not happy', 'let know not happy result', 'let know not happy result not', 'know', 'know not', 'know not happy', 'know not happy result', 'know not happy result not', 'not', 'not happy', 'not happy result', 'not happy result not', 'happy', 'happy result', 'happy result not', 'result', 'result not', 'not']",0,0,0,0,1,0,0,0,0,0,0,0.03125
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,0,0,1,0,0,0,0,0,0,0.0273972602739726
169235,He lets you know what your insurance pays and what you owe right upfront so there are never any surprises.,0,let know insurance pay owe right surprise,"['let', 'let know', 'let know insurance', 'let know insurance pay', 'let know insurance pay owe', 'let know insurance pay owe right', 'let know insurance pay owe right surprise', 'know', 'know insurance', 'know insurance pay', 'know insurance pay owe', 'know insurance pay owe right', 'know insurance pay owe right surprise', 'insurance', 'insurance pay', 'insurance pay owe', 'insurance pay owe right', 'insurance pay owe right surprise', 'pay', 'pay owe', 'pay owe right', 'pay owe right surprise', 'owe', 'owe right', 'owe right surprise', 'right', 'right surprise', 'surprise']",0,0,0,0,1,0,0,0,0,0,0,0.03571428571428571
57691,I don't know if it was not in her line of work. ,1,know not line work,"['know', 'know not', 'know not line', 'know not line work', 'not', 'not line', 'not line work', 'line', 'line work', 'work']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
127526,so expectations are high when she sees another phyisician because she knows the care she provides for patients)..she is over the moon with him!,0,expectation high see doctor know care provide patientsshe moon,"['expectation', 'expectation high', 'expectation high see', 'expectation high see doctor', 'expectation high see doctor know', 'expectation high see doctor know care', 'expectation high see doctor know care provide', 'expectation high see doctor know care provide patientsshe', 'expectation high see doctor know care provide patientsshe moon', 'high', 'high see', 'high see doctor', 'high see doctor know', 'high see doctor know care', 'high see doctor know care provide', 'high see doctor know care provide patientsshe', 'high see doctor know care provide patientsshe moon', 'see', 'see doctor', 'see doctor know', 'see doctor know care', 'see doctor know care provide', 'see doctor know care provide patientsshe', 'see doctor know care provide patientsshe moon', 'doctor', 'doctor know', 'doctor know care', 'doctor know care provide', 'doctor know care provide patientsshe', 'doctor know care provide patientsshe moon', 'know', 'know care', 'know care provide', 'know care provide patientsshe', 'know care provide patientsshe moon', 'care', 'care provide', 'care provide patientsshe', 'care provide patientsshe moon', 'provide', 'provide patientsshe', 'provide patientsshe moon', 'patientsshe', 'patientsshe moon', 'moon']",0,0,0,0,1,0,0,0,0,0,0,0.0273972602739726
160465,"AND TOLD ME SO MUCH I DIDN'T KNOW ABOUT MY INSURANCE , JUST DO FRIENDLY!!",0,tell know insurance friendly,"['tell', 'tell know', 'tell know insurance', 'tell know insurance friendly', 'know', 'know insurance', 'know insurance friendly', 'insurance', 'insurance friendly', 'friendly']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
141364,I would not hesitate to use and recommend Dr. Robinson and his office to anyone looking to improve their appearance.,0,not hesitate use recommend office look better appearance,"['not', 'not hesitate', 'not hesitate use', 'not hesitate use recommend', 'not hesitate use recommend office', 'not hesitate use recommend office look', 'not hesitate use recommend office look better', 'not hesitate use recommend office look better appearance', 'hesitate', 'hesitate use', 'hesitate use recommend', 'hesitate use recommend office', 'hesitate use recommend office look', 'hesitate use recommend office look better', 'hesitate use recommend office look better appearance', 'use', 'use recommend', 'use recommend office', 'use recommend office look', 'use recommend office look better', 'use recommend office look better appearance', 'recommend', 'recommend office', 'recommend office look', 'recommend office look better', 'recommend office look better appearance', 'office', 'office look', 'office look better', 'office look better appearance', 'look', 'look better', 'look better appearance', 'better', 'better appearance', 'appearance']",0,0,0,0,0,0,0,1,0,0,0,0.03125
183979,Tylenol did the trick and I did not feel the need to use any other medications to manage my pain level.,0,acetaminophen trick not feel need use meditation manage pain level,"['acetaminophen', 'acetaminophen trick', 'acetaminophen trick not', 'acetaminophen trick not feel', 'acetaminophen trick not feel need', 'acetaminophen trick not feel need use', 'acetaminophen trick not feel need use meditation', 'acetaminophen trick not feel need use meditation manage', 'acetaminophen trick not feel need use meditation manage pain', 'acetaminophen trick not feel need use meditation manage pain level', 'trick', 'trick not', 'trick not feel', 'trick not feel need', 'trick not feel need use', 'trick not feel need use meditation', 'trick not feel need use meditation manage', 'trick not feel need use meditation manage pain', 'trick not feel need use meditation manage pain level', 'not', 'not feel', 'not feel need', 'not feel need use', 'not feel need use meditation', 'not feel need use meditation manage', 'not feel need use meditation manage pain', 'not feel need use meditation manage pain level', 'feel', 'feel need', 'feel need use', 'feel need use meditation', 'feel need use meditation manage', 'feel need use meditation manage pain', 'feel need use meditation manage pain level', 'need', 'need use', 'need use meditation', 'need use meditation manage', 'need use meditation manage pain', 'need use meditation manage pain level', 'use', 'use meditation', 'use meditation manage', 'use meditation manage pain', 'use meditation manage pain level', 'meditation', 'meditation manage', 'meditation manage pain', 'meditation manage pain level', 'manage', 'manage pain', 'manage pain level', 'pain', 'pain level', 'level']",0,0,0,0,0,0,0,1,0,0,0,0.024096385542168676
180353,Village Dental is the only dentist I will use.,0,village dental dentist use,"['village', 'village dental', 'village dental dentist', 'village dental dentist use', 'dental', 'dental dentist', 'dental dentist use', 'dentist', 'dentist use', 'use']",0,0,0,0,0,0,0,1,0,0,0,0.05263157894736842
103233,"Dr. Yung knows is very helpful and kind, I always feel secure when discussing different birth control methods with her.",0,know helpful kind feel secure discuss different birth control method,"['know', 'know helpful', 'know helpful kind', 'know helpful kind feel', 'know helpful kind feel secure', 'know helpful kind feel secure discuss', 'know helpful kind feel secure discuss different', 'know helpful kind feel secure discuss different birth', 'know helpful kind feel secure discuss different birth control', 'know helpful kind feel secure discuss different birth control method', 'helpful', 'helpful kind', 'helpful kind feel', 'helpful kind feel secure', 'helpful kind feel secure discuss', 'helpful kind feel secure discuss different', 'helpful kind feel secure discuss different birth', 'helpful kind feel secure discuss different birth control', 'helpful kind feel secure discuss different birth control method', 'kind', 'kind feel', 'kind feel secure', 'kind feel secure discuss', 'kind feel secure discuss different', 'kind feel secure discuss different birth', 'kind feel secure discuss different birth control', 'kind feel secure discuss different birth control method', 'feel', 'feel secure', 'feel secure discuss', 'feel secure discuss different', 'feel secure discuss different birth', 'feel secure discuss different birth control', 'feel secure discuss different birth control method', 'secure', 'secure discuss', 'secure discuss different', 'secure discuss different birth', 'secure discuss different birth control', 'secure discuss different birth control method', 'discuss', 'discuss different', 'discuss different birth', 'discuss different birth control', 'discuss different birth control method', 'different', 'different birth', 'different birth control', 'different birth control method', 'birth', 'birth control', 'birth control method', 'control', 'control method', 'method']",0,0,0,0,1,0,0,0,0,0,0,0.024096385542168676
175554,She let me know each time prior to injection and continued to check in with me.,0,let know time prior injection continue check,"['let', 'let know', 'let know time', 'let know time prior', 'let know time prior injection', 'let know time prior injection continue', 'let know time prior injection continue check', 'know', 'know time', 'know time prior', 'know time prior injection', 'know time prior injection continue', 'know time prior injection continue check', 'time', 'time prior', 'time prior injection', 'time prior injection continue', 'time prior injection continue check', 'prior', 'prior injection', 'prior injection continue', 'prior injection continue check', 'injection', 'injection continue', 'injection continue check', 'continue', 'continue check', 'check']",0,0,0,0,1,0,0,0,0,0,0,0.03571428571428571
111049,She should've referred me to a doctor who knew how to do this procedure.,1,refer doctor know procedure,"['refer', 'refer doctor', 'refer doctor know', 'refer doctor know procedure', 'doctor', 'doctor know', 'doctor know procedure', 'know', 'know procedure', 'procedure']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
130192,"Overall I had the best experience, I don't really use social media",0,overall good experience use social medium,"['overall', 'overall good', 'overall good experience', 'overall good experience use', 'overall good experience use social', 'overall good experience use social medium', 'good', 'good experience', 'good experience use', 'good experience use social', 'good experience use social medium', 'experience', 'experience use', 'experience use social', 'experience use social medium', 'use', 'use social', 'use social medium', 'social', 'social medium', 'medium']",0,0,0,0,0,0,0,1,0,0,0,0.04081632653061224
60449,She always knows everything that is going on with me.,0,know go,"['know', 'know go', 'go']",0,0,0,0,1,0,0,0,0,0,0,0.06451612903225806
167056,"Now I know everyone has a hiccup here and there but for me no hiccups, it's been smooth sailing all the way.",0,know hiccup no hiccup smooth sailing way,"['know', 'know hiccup', 'know hiccup no', 'know hiccup no hiccup', 'know hiccup no hiccup smooth', 'know hiccup no hiccup smooth sailing', 'know hiccup no hiccup smooth sailing way', 'hiccup', 'hiccup no', 'hiccup no hiccup', 'hiccup no hiccup smooth', 'hiccup no hiccup smooth sailing', 'hiccup no hiccup smooth sailing way', 'no', 'no hiccup', 'no hiccup smooth', 'no hiccup smooth sailing', 'no hiccup smooth sailing way', 'hiccup', 'hiccup smooth', 'hiccup smooth sailing', 'hiccup smooth sailing way', 'smooth', 'smooth sailing', 'smooth sailing way', 'sailing', 'sailing way', 'way']",0,0,0,0,1,0,0,0,0,0,0,0.03571428571428571
111380,I know that there is still some swelling and things should just get better.,0,know swell thing good,"['know', 'know swell', 'know swell thing', 'know swell thing good', 'swell', 'swell thing', 'swell thing good', 'thing', 'thing good', 'good']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
175642,"I don't know how I went this long without her, these treatments, and this skincare routine!",0,know go long treatment sincere routine,"['know', 'know go', 'know go long', 'know go long treatment', 'know go long treatment sincere', 'know go long treatment sincere routine', 'go', 'go long', 'go long treatment', 'go long treatment sincere', 'go long treatment sincere routine', 'long', 'long treatment', 'long treatment sincere', 'long treatment sincere routine', 'treatment', 'treatment sincere', 'treatment sincere routine', 'sincere', 'sincere routine', 'routine']",0,0,0,0,1,0,0,0,0,0,0,0.04081632653061224
90276,"From the first time I went to see Dr. Gartner, I knew I was in the right place.",0,time go know right place,"['time', 'time go', 'time go know', 'time go know right', 'time go know right place', 'go', 'go know', 'go know right', 'go know right place', 'know', 'know right', 'know right place', 'right', 'right place', 'place']",0,0,0,0,1,0,0,0,0,0,0,0.046511627906976744
76400,"Besides, he's a really smart man and he seems to know exactly what he's doing.",0,smart man know precisely,"['smart', 'smart man', 'smart man know', 'smart man know precisely', 'man', 'man know', 'man know precisely', 'know', 'know precisely', 'precisely']",0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842
142537,"Michelle does such a terrific job that I know when I leave, within a couple days I will be looking",0,terrific job know leave look,"['terrific', 'terrific job', 'terrific job know', 'terrific job know leave', 'terrific job know leave look', 'job', 'job know', 'job know leave', 'job know leave look', 'know', 'know leave', 'know leave look', 'leave', 'leave look', 'look']",0,0,0,0,1,0,0,0,0,0,0,0.046511627906976744
