commentId,comment,classification,comment_processed,word_phrase_list,spectacular,impression,similarity_score
109991,My impression was that this business sold way too many groupons and was regretting it!,1,impression business sell way group regret,"['impression', 'impression business', 'impression business sell', 'impression business sell way', 'impression business sell way group', 'impression business sell way group regret', 'business', 'business sell', 'business sell way', 'business sell way group', 'business sell way group regret', 'sell', 'sell way', 'sell way group', 'sell way group regret', 'way', 'way group', 'way group regret', 'group', 'group regret', 'regret']",0,1,0.08333333333333333
86909,and the results are really spectacular!,0,result spectacular,"['result', 'result spectacular', 'spectacular']",1,0,0.3333333333333333
78795,"If only there were some way to make the mold impression stage less ""traumatic"" it really bothered my boy.",1,way mold impression stage traumatic gather boy,"['way', 'way mold', 'way mold impression', 'way mold impression stage', 'way mold impression stage traumatic', 'way mold impression stage traumatic gather', 'way mold impression stage traumatic gather boy', 'mold', 'mold impression', 'mold impression stage', 'mold impression stage traumatic', 'mold impression stage traumatic gather', 'mold impression stage traumatic gather boy', 'impression', 'impression stage', 'impression stage traumatic', 'impression stage traumatic gather', 'impression stage traumatic gather boy', 'stage', 'stage traumatic', 'stage traumatic gather', 'stage traumatic gather boy', 'traumatic', 'traumatic gather', 'traumatic gather boy', 'gather', 'gather boy', 'boy']",0,1,0.06451612903225806
60024,"He seemed very competent, gave the impression that he knew what he was doing.",0,competent give impression know,"['competent', 'competent give', 'competent give impression', 'competent give impression know', 'give', 'give impression', 'give impression know', 'impression', 'impression know', 'know']",0,1,0.15384615384615385
95428,First impression ALL staff were professional,0,impression staff professional,"['impression', 'impression staff', 'impression staff professional', 'staff', 'staff professional', 'professional']",0,1,0.2222222222222222
69827,She seemed less than enthused about helping ...just not a good front entry impression.,0,entrust help not good entry impression,"['entrust', 'entrust help', 'entrust help not', 'entrust help not good', 'entrust help not good entry', 'entrust help not good entry impression', 'help', 'help not', 'help not good', 'help not good entry', 'help not good entry impression', 'not', 'not good', 'not good entry', 'not good entry impression', 'good', 'good entry', 'good entry impression', 'entry', 'entry impression', 'impression']",0,1,0.08333333333333333
148750,and from my first impression he was very passionate and loves what he does.,0,impression passionate love,"['impression', 'impression passionate', 'impression passionate love', 'passionate', 'passionate love', 'love']",0,1,0.2222222222222222
170207,"No sé si este es un buen doctor o no, pero mi primera impresión por llamada fue bastante desalentadora por",1,no silicon eastern time e o no mi primary impression llamada castanet desalentadora,"['no', 'no silicon', 'no silicon eastern', 'no silicon eastern time', 'no silicon eastern time e', 'no silicon eastern time e o', 'no silicon eastern time e o no', 'no silicon eastern time e o no mi', 'no silicon eastern time e o no mi primary', 'no silicon eastern time e o no mi primary impression', 'no silicon eastern time e o no mi primary impression llamada', 'no silicon eastern time e o no mi primary impression llamada castanet', 'no silicon eastern time e o no mi primary impression llamada castanet desalentadora', 'silicon', 'silicon eastern', 'silicon eastern time', 'silicon eastern time e', 'silicon eastern time e o', 'silicon eastern time e o no', 'silicon eastern time e o no mi', 'silicon eastern time e o no mi primary', 'silicon eastern time e o no mi primary impression', 'silicon eastern time e o no mi primary impression llamada', 'silicon eastern time e o no mi primary impression llamada castanet', 'silicon eastern time e o no mi primary impression llamada castanet desalentadora', 'eastern', 'eastern time', 'eastern time e', 'eastern time e o', 'eastern time e o no', 'eastern time e o no mi', 'eastern time e o no mi primary', 'eastern time e o no mi primary impression', 'eastern time e o no mi primary impression llamada', 'eastern time e o no mi primary impression llamada castanet', 'eastern time e o no mi primary impression llamada castanet desalentadora', 'time', 'time e', 'time e o', 'time e o no', 'time e o no mi', 'time e o no mi primary', 'time e o no mi primary impression', 'time e o no mi primary impression llamada', 'time e o no mi primary impression llamada castanet', 'time e o no mi primary impression llamada castanet desalentadora', 'e', 'e o', 'e o no', 'e o no mi', 'e o no mi primary', 'e o no mi primary impression', 'e o no mi primary impression llamada', 'e o no mi primary impression llamada castanet', 'e o no mi primary impression llamada castanet desalentadora', 'o', 'o no', 'o no mi', 'o no mi primary', 'o no mi primary impression', 'o no mi primary impression llamada', 'o no mi primary impression llamada castanet', 'o no mi primary impression llamada castanet desalentadora', 'no', 'no mi', 'no mi primary', 'no mi primary impression', 'no mi primary impression llamada', 'no mi primary impression llamada castanet', 'no mi primary impression llamada castanet desalentadora', 'mi', 'mi primary', 'mi primary impression', 'mi primary impression llamada', 'mi primary impression llamada castanet', 'mi primary impression llamada castanet desalentadora', 'primary', 'primary impression', 'primary impression llamada', 'primary impression llamada castanet', 'primary impression llamada castanet desalentadora', 'impression', 'impression llamada', 'impression llamada castanet', 'impression llamada castanet desalentadora', 'llamada', 'llamada castanet', 'llamada castanet desalentadora', 'castanet', 'castanet desalentadora', 'desalentadora']",0,1,0.02127659574468085
118668,I visited other highly rated doctors before making my decision but none of them left the same impression on me.,0,visit highly rate doctor make decision none leave impression,"['visit', 'visit highly', 'visit highly rate', 'visit highly rate doctor', 'visit highly rate doctor make', 'visit highly rate doctor make decision', 'visit highly rate doctor make decision none', 'visit highly rate doctor make decision none leave', 'visit highly rate doctor make decision none leave impression', 'highly', 'highly rate', 'highly rate doctor', 'highly rate doctor make', 'highly rate doctor make decision', 'highly rate doctor make decision none', 'highly rate doctor make decision none leave', 'highly rate doctor make decision none leave impression', 'rate', 'rate doctor', 'rate doctor make', 'rate doctor make decision', 'rate doctor make decision none', 'rate doctor make decision none leave', 'rate doctor make decision none leave impression', 'doctor', 'doctor make', 'doctor make decision', 'doctor make decision none', 'doctor make decision none leave', 'doctor make decision none leave impression', 'make', 'make decision', 'make decision none', 'make decision none leave', 'make decision none leave impression', 'decision', 'decision none', 'decision none leave', 'decision none leave impression', 'none', 'none leave', 'none leave impression', 'leave', 'leave impression', 'impression']",0,1,0.041666666666666664
150088,Dr Shim stuff gives me wrong impression of how this procedure was going to be.,1,stuff give wrong impression procedure go,"['stuff', 'stuff give', 'stuff give wrong', 'stuff give wrong impression', 'stuff give wrong impression procedure', 'stuff give wrong impression procedure go', 'give', 'give wrong', 'give wrong impression', 'give wrong impression procedure', 'give wrong impression procedure go', 'wrong', 'wrong impression', 'wrong impression procedure', 'wrong impression procedure go', 'impression', 'impression procedure', 'impression procedure go', 'procedure', 'procedure go', 'go']",0,1,0.08333333333333333
