commentId,comment,classification,comment_processed,word_phrase_list,completely,text,box,black,black white,white,similarity_score
145056,One of my favorite things was changing the color of the mirror frame (I chose to keep it at a white violet).,0,favorite thing change color mirror frame choose white violet,"['favorite', 'favorite thing', 'favorite thing change', 'favorite thing change color', 'favorite thing change color mirror', 'favorite thing change color mirror frame', 'favorite thing change color mirror frame choose', 'favorite thing change color mirror frame choose white', 'favorite thing change color mirror frame choose white violet', 'thing', 'thing change', 'thing change color', 'thing change color mirror', 'thing change color mirror frame', 'thing change color mirror frame choose', 'thing change color mirror frame choose white', 'thing change color mirror frame choose white violet', 'change', 'change color', 'change color mirror', 'change color mirror frame', 'change color mirror frame choose', 'change color mirror frame choose white', 'change color mirror frame choose white violet', 'color', 'color mirror', 'color mirror frame', 'color mirror frame choose', 'color mirror frame choose white', 'color mirror frame choose white violet', 'mirror', 'mirror frame', 'mirror frame choose', 'mirror frame choose white', 'mirror frame choose white violet', 'frame', 'frame choose', 'frame choose white', 'frame choose white violet', 'choose', 'choose white', 'choose white violet', 'white', 'white violet', 'violet']",0,0,0,0,0,1,0.125
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",1,0,0,0,0,0,0.125
92640,I'm completely satisfied with my results,0,m completely satisfy result,"['m', 'm completely', 'm completely satisfy', 'm completely satisfy result', 'completely', 'completely satisfy', 'completely satisfy result', 'satisfy', 'satisfy result', 'result']",1,0,0,0,0,0,0.125
61225,I am completely satisfied with his service,0,completely satisfy service,"['completely', 'completely satisfy', 'completely satisfy service', 'satisfy', 'satisfy service', 'service']",1,0,0,0,0,0,0.125
180882,First of all bmi is a completely outdated judge of someone's health especially when you have no idea what they look like in person.,1,mi completely outdated judge health especially idea look like person,"['mi', 'mi completely', 'mi completely outdated', 'mi completely outdated judge', 'mi completely outdated judge health', 'mi completely outdated judge health especially', 'mi completely outdated judge health especially idea', 'mi completely outdated judge health especially idea look', 'mi completely outdated judge health especially idea look like', 'mi completely outdated judge health especially idea look like person', 'completely', 'completely outdated', 'completely outdated judge', 'completely outdated judge health', 'completely outdated judge health especially', 'completely outdated judge health especially idea', 'completely outdated judge health especially idea look', 'completely outdated judge health especially idea look like', 'completely outdated judge health especially idea look like person', 'outdated', 'outdated judge', 'outdated judge health', 'outdated judge health especially', 'outdated judge health especially idea', 'outdated judge health especially idea look', 'outdated judge health especially idea look like', 'outdated judge health especially idea look like person', 'judge', 'judge health', 'judge health especially', 'judge health especially idea', 'judge health especially idea look', 'judge health especially idea look like', 'judge health especially idea look like person', 'health', 'health especially', 'health especially idea', 'health especially idea look', 'health especially idea look like', 'health especially idea look like person', 'especially', 'especially idea', 'especially idea look', 'especially idea look like', 'especially idea look like person', 'idea', 'idea look', 'idea look like', 'idea look like person', 'look', 'look like', 'look like person', 'like', 'like person', 'person']",1,0,0,0,0,0,0.125
166762,This doctor completely missed my developing hip osteoarthritis.,1,doctor completely miss develop hip osteoarthritis,"['doctor', 'doctor completely', 'doctor completely miss', 'doctor completely miss develop', 'doctor completely miss develop hip', 'doctor completely miss develop hip osteoarthritis', 'completely', 'completely miss', 'completely miss develop', 'completely miss develop hip', 'completely miss develop hip osteoarthritis', 'miss', 'miss develop', 'miss develop hip', 'miss develop hip osteoarthritis', 'develop', 'develop hip', 'develop hip osteoarthritis', 'hip', 'hip osteoarthritis', 'osteoarthritis']",1,0,0,0,0,0,0.125
189542,She not only fixed my septum but completely fixed my sinuses,0,fix septum completely fix sinus,"['fix', 'fix septum', 'fix septum completely', 'fix septum completely fix', 'fix septum completely fix sinus', 'septum', 'septum completely', 'septum completely fix', 'septum completely fix sinus', 'completely', 'completely fix', 'completely fix sinus', 'fix', 'fix sinus', 'sinus']",1,0,0,0,0,0,0.125
100478,for the rewarding outcome of my procedure and Dr. White's artistry and compassion.,0,reward result procedure dr white artistic compassion,"['reward', 'reward result', 'reward result procedure', 'reward result procedure dr', 'reward result procedure dr white', 'reward result procedure dr white artistic', 'reward result procedure dr white artistic compassion', 'result', 'result procedure', 'result procedure dr', 'result procedure dr white', 'result procedure dr white artistic', 'result procedure dr white artistic compassion', 'procedure', 'procedure dr', 'procedure dr white', 'procedure dr white artistic', 'procedure dr white artistic compassion', 'dr', 'dr white', 'dr white artistic', 'dr white artistic compassion', 'white', 'white artistic', 'white artistic compassion', 'artistic', 'artistic compassion', 'compassion']",0,0,0,0,0,1,0.125
105802,"I would not want to see anyone but him, because I trust him completely.",0,want trust completely,"['want', 'want trust', 'want trust completely', 'trust', 'trust completely', 'completely']",1,0,0,0,0,0,0.125
60223,I am completely happy with the service,0,completely happy service,"['completely', 'completely happy', 'completely happy service', 'happy', 'happy service', 'service']",1,0,0,0,0,0,0.125
113856,The doctor confirmed that the squamous cells had not been completely removed in the surgery that was performed by Dr. Yangzhou.,1,doctor confirm squamous cell completely remove surgery perform,"['doctor', 'doctor confirm', 'doctor confirm squamous', 'doctor confirm squamous cell', 'doctor confirm squamous cell completely', 'doctor confirm squamous cell completely remove', 'doctor confirm squamous cell completely remove surgery', 'doctor confirm squamous cell completely remove surgery perform', 'confirm', 'confirm squamous', 'confirm squamous cell', 'confirm squamous cell completely', 'confirm squamous cell completely remove', 'confirm squamous cell completely remove surgery', 'confirm squamous cell completely remove surgery perform', 'squamous', 'squamous cell', 'squamous cell completely', 'squamous cell completely remove', 'squamous cell completely remove surgery', 'squamous cell completely remove surgery perform', 'cell', 'cell completely', 'cell completely remove', 'cell completely remove surgery', 'cell completely remove surgery perform', 'completely', 'completely remove', 'completely remove surgery', 'completely remove surgery perform', 'remove', 'remove surgery', 'remove surgery perform', 'surgery', 'surgery perform', 'perform']",1,0,0,0,0,0,0.125
123407,"If you choose Dr. White, you can know that you are in excellent hands.",0,choose dr white know excellent hand,"['choose', 'choose dr', 'choose dr white', 'choose dr white know', 'choose dr white know excellent', 'choose dr white know excellent hand', 'dr', 'dr white', 'dr white know', 'dr white know excellent', 'dr white know excellent hand', 'white', 'white know', 'white know excellent', 'white know excellent hand', 'know', 'know excellent', 'know excellent hand', 'excellent', 'excellent hand', 'hand']",0,0,0,0,0,1,0.125
116559,I was completely comfortable with his treatment.,0,completely comfortable treatment,"['completely', 'completely comfortable', 'completely comfortable treatment', 'comfortable', 'comfortable treatment', 'treatment']",1,0,0,0,0,0,0.125
157046,I was at their Sandy Springs location for a fair amount of time but it was completely worth it.,0,sandy spring location fair time completely worth,"['sandy', 'sandy spring', 'sandy spring location', 'sandy spring location fair', 'sandy spring location fair time', 'sandy spring location fair time completely', 'sandy spring location fair time completely worth', 'spring', 'spring location', 'spring location fair', 'spring location fair time', 'spring location fair time completely', 'spring location fair time completely worth', 'location', 'location fair', 'location fair time', 'location fair time completely', 'location fair time completely worth', 'fair', 'fair time', 'fair time completely', 'fair time completely worth', 'time', 'time completely', 'time completely worth', 'completely', 'completely worth', 'worth']",1,0,0,0,0,0,0.125
163246,So I texted the number that the staff told me to text after I told them it was impossible to get through.,1,test number staff tell text tell impossible,"['test', 'test number', 'test number staff', 'test number staff tell', 'test number staff tell text', 'test number staff tell text tell', 'test number staff tell text tell impossible', 'number', 'number staff', 'number staff tell', 'number staff tell text', 'number staff tell text tell', 'number staff tell text tell impossible', 'staff', 'staff tell', 'staff tell text', 'staff tell text tell', 'staff tell text tell impossible', 'tell', 'tell text', 'tell text tell', 'tell text tell impossible', 'text', 'text tell', 'text tell impossible', 'tell', 'tell impossible', 'impossible']",0,1,0,0,0,0,0.125
