commentId,comment,classification,comment_processed,word_phrase_list,complain,ask,ask send,send,send picture,picture,similarity_score,regression_weight
127042,IF YOU GO HERE ASK WHAT HE'S DOING AND WHAT IT WILL COST.,1,ask cost,"['ask', 'ask cost', 'cost']",0,1,0,0,0,0,0.1,0.0
165011,I can actually look at myself in the mirror and in pictures and like the way I look.,0,actually look mirror picture like way look,"['actually', 'actually look', 'actually look mirror', 'actually look mirror picture', 'actually look mirror picture like', 'actually look mirror picture like way', 'actually look mirror picture like way look', 'look', 'look mirror', 'look mirror picture', 'look mirror picture like', 'look mirror picture like way', 'look mirror picture like way look', 'mirror', 'mirror picture', 'mirror picture like', 'mirror picture like way', 'mirror picture like way look', 'picture', 'picture like', 'picture like way', 'picture like way look', 'like', 'like way', 'like way look', 'way', 'way look', 'look']",0,0,0,0,0,1,0.1,0.0
149080,He was a God send!,0,god send,"['god', 'god send', 'send']",0,0,0,1,0,0,0.1,0.0
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",0,1,0,0,0,0,0.1,0.0
163472,"If you were to ask me to rate Dr. Lee as a person, I'd leave 10 stars.",0,ask rate person leave star,"['ask', 'ask rate', 'ask rate person', 'ask rate person leave', 'ask rate person leave star', 'rate', 'rate person', 'rate person leave', 'rate person leave star', 'person', 'person leave', 'person leave star', 'leave', 'leave star', 'star']",0,1,0,0,0,0,0.1,0.0
99625,He was very thorough and asked if I had any specific questions.,0,thorough ask specific question,"['thorough', 'thorough ask', 'thorough ask specific', 'thorough ask specific question', 'ask', 'ask specific', 'ask specific question', 'specific', 'specific question', 'question']",0,1,0,0,0,0,0.1,0.0
133626,Dr. Allows us to ask questions.,0,dr allow ask question,"['dr', 'dr allow', 'dr allow ask', 'dr allow ask question', 'allow', 'allow ask', 'allow ask question', 'ask', 'ask question', 'question']",0,1,0,0,0,0,0.1,0.0
186978,"Fue una muy buena experiencia, es la primera vez que hago crioterapia y me sentí en la total confianza de empezar este proceso !",0,united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process,"['united', 'united nations', 'united nations buena', 'united nations buena experience', 'united nations buena experience e', 'united nations buena experience e que', 'united nations buena experience e que ago', 'united nations buena experience e que ago crioterapia', 'united nations buena experience e que ago crioterapia y', 'united nations buena experience e que ago crioterapia y send', 'united nations buena experience e que ago crioterapia y send en', 'united nations buena experience e que ago crioterapia y send en lanthanum', 'united nations buena experience e que ago crioterapia y send en lanthanum total', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'nations', 'nations buena', 'nations buena experience', 'nations buena experience e', 'nations buena experience e que', 'nations buena experience e que ago', 'nations buena experience e que ago crioterapia', 'nations buena experience e que ago crioterapia y', 'nations buena experience e que ago crioterapia y send', 'nations buena experience e que ago crioterapia y send en', 'nations buena experience e que ago crioterapia y send en lanthanum', 'nations buena experience e que ago crioterapia y send en lanthanum total', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'buena', 'buena experience', 'buena experience e', 'buena experience e que', 'buena experience e que ago', 'buena experience e que ago crioterapia', 'buena experience e que ago crioterapia y', 'buena experience e que ago crioterapia y send', 'buena experience e que ago crioterapia y send en', 'buena experience e que ago crioterapia y send en lanthanum', 'buena experience e que ago crioterapia y send en lanthanum total', 'buena experience e que ago crioterapia y send en lanthanum total confianza', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'experience', 'experience e', 'experience e que', 'experience e que ago', 'experience e que ago crioterapia', 'experience e que ago crioterapia y', 'experience e que ago crioterapia y send', 'experience e que ago crioterapia y send en', 'experience e que ago crioterapia y send en lanthanum', 'experience e que ago crioterapia y send en lanthanum total', 'experience e que ago crioterapia y send en lanthanum total confianza', 'experience e que ago crioterapia y send en lanthanum total confianza delaware', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'e', 'e que', 'e que ago', 'e que ago crioterapia', 'e que ago crioterapia y', 'e que ago crioterapia y send', 'e que ago crioterapia y send en', 'e que ago crioterapia y send en lanthanum', 'e que ago crioterapia y send en lanthanum total', 'e que ago crioterapia y send en lanthanum total confianza', 'e que ago crioterapia y send en lanthanum total confianza delaware', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'que', 'que ago', 'que ago crioterapia', 'que ago crioterapia y', 'que ago crioterapia y send', 'que ago crioterapia y send en', 'que ago crioterapia y send en lanthanum', 'que ago crioterapia y send en lanthanum total', 'que ago crioterapia y send en lanthanum total confianza', 'que ago crioterapia y send en lanthanum total confianza delaware', 'que ago crioterapia y send en lanthanum total confianza delaware emperor', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'ago', 'ago crioterapia', 'ago crioterapia y', 'ago crioterapia y send', 'ago crioterapia y send en', 'ago crioterapia y send en lanthanum', 'ago crioterapia y send en lanthanum total', 'ago crioterapia y send en lanthanum total confianza', 'ago crioterapia y send en lanthanum total confianza delaware', 'ago crioterapia y send en lanthanum total confianza delaware emperor', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'crioterapia', 'crioterapia y', 'crioterapia y send', 'crioterapia y send en', 'crioterapia y send en lanthanum', 'crioterapia y send en lanthanum total', 'crioterapia y send en lanthanum total confianza', 'crioterapia y send en lanthanum total confianza delaware', 'crioterapia y send en lanthanum total confianza delaware emperor', 'crioterapia y send en lanthanum total confianza delaware emperor eastern', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'y', 'y send', 'y send en', 'y send en lanthanum', 'y send en lanthanum total', 'y send en lanthanum total confianza', 'y send en lanthanum total confianza delaware', 'y send en lanthanum total confianza delaware emperor', 'y send en lanthanum total confianza delaware emperor eastern', 'y send en lanthanum total confianza delaware emperor eastern time', 'y send en lanthanum total confianza delaware emperor eastern time process', 'send', 'send en', 'send en lanthanum', 'send en lanthanum total', 'send en lanthanum total confianza', 'send en lanthanum total confianza delaware', 'send en lanthanum total confianza delaware emperor', 'send en lanthanum total confianza delaware emperor eastern', 'send en lanthanum total confianza delaware emperor eastern time', 'send en lanthanum total confianza delaware emperor eastern time process', 'en', 'en lanthanum', 'en lanthanum total', 'en lanthanum total confianza', 'en lanthanum total confianza delaware', 'en lanthanum total confianza delaware emperor', 'en lanthanum total confianza delaware emperor eastern', 'en lanthanum total confianza delaware emperor eastern time', 'en lanthanum total confianza delaware emperor eastern time process', 'lanthanum', 'lanthanum total', 'lanthanum total confianza', 'lanthanum total confianza delaware', 'lanthanum total confianza delaware emperor', 'lanthanum total confianza delaware emperor eastern', 'lanthanum total confianza delaware emperor eastern time', 'lanthanum total confianza delaware emperor eastern time process', 'total', 'total confianza', 'total confianza delaware', 'total confianza delaware emperor', 'total confianza delaware emperor eastern', 'total confianza delaware emperor eastern time', 'total confianza delaware emperor eastern time process', 'confianza', 'confianza delaware', 'confianza delaware emperor', 'confianza delaware emperor eastern', 'confianza delaware emperor eastern time', 'confianza delaware emperor eastern time process', 'delaware', 'delaware emperor', 'delaware emperor eastern', 'delaware emperor eastern time', 'delaware emperor eastern time process', 'emperor', 'emperor eastern', 'emperor eastern time', 'emperor eastern time process', 'eastern', 'eastern time', 'eastern time process', 'time', 'time process', 'process']",0,0,0,1,0,0,0.1,0.0
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,0,1,0,0,0.1,0.0
138678,"I was nervous when I first called to ask questions, Terrie is whom I spoke with, she had all the answers, she wasn't pushy,",0,nervous call ask question terrible speak answer push,"['nervous', 'nervous call', 'nervous call ask', 'nervous call ask question', 'nervous call ask question terrible', 'nervous call ask question terrible speak', 'nervous call ask question terrible speak answer', 'nervous call ask question terrible speak answer push', 'call', 'call ask', 'call ask question', 'call ask question terrible', 'call ask question terrible speak', 'call ask question terrible speak answer', 'call ask question terrible speak answer push', 'ask', 'ask question', 'ask question terrible', 'ask question terrible speak', 'ask question terrible speak answer', 'ask question terrible speak answer push', 'question', 'question terrible', 'question terrible speak', 'question terrible speak answer', 'question terrible speak answer push', 'terrible', 'terrible speak', 'terrible speak answer', 'terrible speak answer push', 'speak', 'speak answer', 'speak answer push', 'answer', 'answer push', 'push']",0,1,0,0,0,0,0.1,0.0
