commentId,comment,classification,comment_processed,word_phrase_list,tell,tell post,post,similarity_score
69369,"Everything went so smoothly from my pre-op appointment, day of surgery, and through my post op checkups.",0,go smoothly prop appointment day surgery post op check,"['go', 'go smoothly', 'go smoothly prop', 'go smoothly prop appointment', 'go smoothly prop appointment day', 'go smoothly prop appointment day surgery', 'go smoothly prop appointment day surgery post', 'go smoothly prop appointment day surgery post op', 'go smoothly prop appointment day surgery post op check', 'smoothly', 'smoothly prop', 'smoothly prop appointment', 'smoothly prop appointment day', 'smoothly prop appointment day surgery', 'smoothly prop appointment day surgery post', 'smoothly prop appointment day surgery post op', 'smoothly prop appointment day surgery post op check', 'prop', 'prop appointment', 'prop appointment day', 'prop appointment day surgery', 'prop appointment day surgery post', 'prop appointment day surgery post op', 'prop appointment day surgery post op check', 'appointment', 'appointment day', 'appointment day surgery', 'appointment day surgery post', 'appointment day surgery post op', 'appointment day surgery post op check', 'day', 'day surgery', 'day surgery post', 'day surgery post op', 'day surgery post op check', 'surgery', 'surgery post', 'surgery post op', 'surgery post op check', 'post', 'post op', 'post op check', 'op', 'op check', 'check']",0,0,1,0.0273224043715847
129354,"He NEVER told me he was using the SAME implants,",1,tell plant,"['tell', 'tell plant', 'plant']",1,0,0,0.3333333333333333
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",1,0,0,0.034013605442176874
169438,I will post pics of my nose so no one ever has to go through the sadness and embarrassment that I feel.,1,post pick nose no sadness embarrassment feel,"['post', 'post pick', 'post pick nose', 'post pick nose no', 'post pick nose no sadness', 'post pick nose no sadness embarrassment', 'post pick nose no sadness embarrassment feel', 'pick', 'pick nose', 'pick nose no', 'pick nose no sadness', 'pick nose no sadness embarrassment', 'pick nose no sadness embarrassment feel', 'nose', 'nose no', 'nose no sadness', 'nose no sadness embarrassment', 'nose no sadness embarrassment feel', 'no', 'no sadness', 'no sadness embarrassment', 'no sadness embarrassment feel', 'sadness', 'sadness embarrassment', 'sadness embarrassment feel', 'embarrassment', 'embarrassment feel', 'feel']",0,0,1,0.043478260869565216
155852,"that's what Doctor Marotta should have told me: Rafael, I can't, it's very complicated! ... that's it!",1,doctor marietta tell rachel complicate,"['doctor', 'doctor marietta', 'doctor marietta tell', 'doctor marietta tell rachel', 'doctor marietta tell rachel complicate', 'marietta', 'marietta tell', 'marietta tell rachel', 'marietta tell rachel complicate', 'tell', 'tell rachel', 'tell rachel complicate', 'rachel', 'rachel complicate', 'complicate']",1,0,0,0.07936507936507936
153892,"for the IV drips, why tell everyone 'we will start you here and then move you over'.",1,four drop tell start,"['four', 'four drop', 'four drop tell', 'four drop tell start', 'drop', 'drop tell', 'drop tell start', 'tell', 'tell start', 'start']",1,0,0,0.11627906976744186
147362,I am five years post breast cancer and was still having so many side effects from no estrogen and chemo.,1,post breast cancer have effect no nitrogen,"['post', 'post breast', 'post breast cancer', 'post breast cancer have', 'post breast cancer have effect', 'post breast cancer have effect no', 'post breast cancer have effect no nitrogen', 'breast', 'breast cancer', 'breast cancer have', 'breast cancer have effect', 'breast cancer have effect no', 'breast cancer have effect no nitrogen', 'cancer', 'cancer have', 'cancer have effect', 'cancer have effect no', 'cancer have effect no nitrogen', 'have', 'have effect', 'have effect no', 'have effect no nitrogen', 'effect', 'effect no', 'effect no nitrogen', 'no', 'no nitrogen', 'nitrogen']",0,0,1,0.043478260869565216
131918,I was 20/200 before my surgery and at my post op appointment the next morning I was 20/20 with each individual eye,0,surgery post op appointment individual eye,"['surgery', 'surgery post', 'surgery post op', 'surgery post op appointment', 'surgery post op appointment individual', 'surgery post op appointment individual eye', 'post', 'post op', 'post op appointment', 'post op appointment individual', 'post op appointment individual eye', 'op', 'op appointment', 'op appointment individual', 'op appointment individual eye', 'appointment', 'appointment individual', 'appointment individual eye', 'individual', 'individual eye', 'eye']",0,0,1,0.0574712643678161
99000,"I told him what was bothering me, and right away, he gave me his professional opinion.",0,tell bother right away give professional opinion,"['tell', 'tell bother', 'tell bother right', 'tell bother right away', 'tell bother right away give', 'tell bother right away give professional', 'tell bother right away give professional opinion', 'bother', 'bother right', 'bother right away', 'bother right away give', 'bother right away give professional', 'bother right away give professional opinion', 'right', 'right away', 'right away give', 'right away give professional', 'right away give professional opinion', 'away', 'away give', 'away give professional', 'away give professional opinion', 'give', 'give professional', 'give professional opinion', 'professional', 'professional opinion', 'opinion']",1,0,0,0.043478260869565216
153440,"I am now 5 days post op, and I feel like I got the Rolls-Royce of Mommy Makeovers.",0,day post op feel like get rollsroyce mummy maneuver,"['day', 'day post', 'day post op', 'day post op feel', 'day post op feel like', 'day post op feel like get', 'day post op feel like get rollsroyce', 'day post op feel like get rollsroyce mummy', 'day post op feel like get rollsroyce mummy maneuver', 'post', 'post op', 'post op feel', 'post op feel like', 'post op feel like get', 'post op feel like get rollsroyce', 'post op feel like get rollsroyce mummy', 'post op feel like get rollsroyce mummy maneuver', 'op', 'op feel', 'op feel like', 'op feel like get', 'op feel like get rollsroyce', 'op feel like get rollsroyce mummy', 'op feel like get rollsroyce mummy maneuver', 'feel', 'feel like', 'feel like get', 'feel like get rollsroyce', 'feel like get rollsroyce mummy', 'feel like get rollsroyce mummy maneuver', 'like', 'like get', 'like get rollsroyce', 'like get rollsroyce mummy', 'like get rollsroyce mummy maneuver', 'get', 'get rollsroyce', 'get rollsroyce mummy', 'get rollsroyce mummy maneuver', 'rollsroyce', 'rollsroyce mummy', 'rollsroyce mummy maneuver', 'mummy', 'mummy maneuver', 'maneuver']",0,0,1,0.0273224043715847
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",1,0,0,0.0273224043715847
57688,"Tell us what is going on with the visit, what is getting done.",1,tell go visit get,"['tell', 'tell go', 'tell go visit', 'tell go visit get', 'go', 'go visit', 'go visit get', 'visit', 'visit get', 'get']",1,0,0,0.11627906976744186
173619,He told me to get a hobby it was all in my head. . Well went for a second opinion and had crohns disease.,1,tell hobby head go opinion crown disease,"['tell', 'tell hobby', 'tell hobby head', 'tell hobby head go', 'tell hobby head go opinion', 'tell hobby head go opinion crown', 'tell hobby head go opinion crown disease', 'hobby', 'hobby head', 'hobby head go', 'hobby head go opinion', 'hobby head go opinion crown', 'hobby head go opinion crown disease', 'head', 'head go', 'head go opinion', 'head go opinion crown', 'head go opinion crown disease', 'go', 'go opinion', 'go opinion crown', 'go opinion crown disease', 'opinion', 'opinion crown', 'opinion crown disease', 'crown', 'crown disease', 'disease']",1,0,0,0.043478260869565216
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic tell', 'clinic rude busy clinic tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic tell', 'rude busy clinic tell busy', 'busy', 'busy clinic', 'busy clinic tell', 'busy clinic tell busy', 'clinic', 'clinic tell', 'clinic tell busy', 'tell', 'tell busy', 'busy']",1,0,0,0.0574712643678161
159826,When I walked in I was told she was behind 2 hours.,1,walk tell,"['walk', 'walk tell', 'tell']",1,0,0,0.3333333333333333
